timestamp,rpm,map,torque,afr cmd f,afr cmd r,measured afr f,measured afr r,knock f,knock r,iat,battery,tps,timing_f,timing_r,engine_load,ve_f,ve_r
0.000,2500,45.2,65.3,14.7,14.7,14.65,14.68,0,0,85.4,14.2,15.5,32.5,31.5,38.2,75.5,74.8
0.050,2510,45.8,65.8,14.7,14.7,14.68,14.71,0,0,85.4,14.2,15.8,32.5,31.5,38.5,75.8,75.1
0.100,2520,46.2,66.1,14.7,14.7,14.72,14.75,0,0,85.5,14.2,16.2,32.5,31.5,38.8,76.1,75.4
0.150,2550,47.5,67.2,14.7,14.7,14.69,14.72,0,0,85.5,14.2,16.5,32.0,31.0,39.2,76.5,75.8
0.200,2580,48.8,68.5,14.7,14.7,14.71,14.74,0,0,85.6,14.2,17.2,32.0,31.0,40.1,77.2,76.5
0.250,2620,50.2,70.1,14.6,14.6,14.65,14.68,0,0,85.6,14.2,18.5,31.5,30.5,41.5,78.5,77.8
0.300,2680,52.5,72.8,14.6,14.6,14.58,14.61,0,0,85.7,14.2,20.2,31.5,30.5,43.2,80.2,79.5
0.350,2750,55.8,76.2,14.5,14.5,14.52,14.55,0,0,85.8,14.2,22.5,31.0,30.0,45.8,82.5,81.8
0.400,2850,60.2,81.5,14.4,14.4,14.45,14.48,0,0,86.0,14.2,25.8,30.5,29.5,49.2,85.8,85.1
0.450,2980,65.5,88.2,14.2,14.2,14.25,14.28,0,0,86.2,14.1,30.2,30.0,29.0,53.5,90.2,89.5
0.500,3120,72.8,96.5,13.8,13.8,13.85,13.88,0,0,86.5,14.1,35.8,29.5,28.5,59.8,95.8,95.1
0.550,3280,82.5,106.8,13.4,13.4,13.45,13.48,0,0,86.8,14.1,42.5,29.0,28.0,68.5,102.5,101.8
0.600,3450,92.8,118.5,13.2,13.2,13.25,13.28,0,0,87.2,14.1,50.8,28.5,27.5,78.8,110.8,110.1
0.650,3620,98.5,125.2,13.0,13.0,13.05,13.08,0,0,87.5,14.0,55.5,28.0,27.0,84.5,115.5,114.8
0.700,3750,99.8,126.8,13.0,13.0,13.02,13.05,0,0,87.8,14.0,56.8,28.0,27.0,85.8,116.8,116.1
0.750,3820,98.2,125.1,13.0,13.0,13.04,13.07,0,0,88.0,14.0,55.2,28.0,27.0,84.2,115.2,114.5
