Rear Cylinder VE (%) - 2017 FXDLS TC110 + High-Flow Intake + Bassani 2-1
RPM \ MAP (kPa),10,15,20,25,30,35,40,45,50,55,60,65,70,75,85,95,105
750,42.0,49.3,55.5,60.9,65.6,69.8,73.5,76.7,79.5,82.0,84.2,86.2,87.9,89.4,92.0,94.1,95.8
1000,47.2,55.3,62.2,68.1,73.4,78.0,82.1,85.7,88.8,91.6,94.0,96.2,98.1,99.8,102.7,105.0,106.8
1250,52.7,61.7,69.2,75.8,81.6,86.7,91.1,95.1,98.5,101.6,104.3,106.7,108.8,110.7,113.9,116.4,118.5
1500,54.3,63.6,71.3,78.1,84.0,89.2,93.8,97.8,101.4,104.6,107.4,109.8,112.0,114.0,117.2,119.9,122.0
1750,55.7,65.3,73.2,80.2,86.3,91.7,96.4,100.5,104.2,107.5,110.3,112.9,115.1,117.2,120.6,123.3,125.5
2000,56.9,66.9,75.1,82.2,88.5,94.0,98.8,103.2,107.0,110.3,113.3,115.9,118.2,120.3,123.8,126.5,128.8
2250,58.1,68.3,76.7,84.0,90.4,96.2,101.1,105.5,109.4,112.8,115.8,118.5,120.9,123.0,126.7,129.5,130.0
2500,59.0,69.5,78.1,85.5,92.1,97.9,103.0,107.4,111.4,114.9,118.0,120.7,123.1,125.4,129.1,130.0,130.0
2750,59.7,70.4,79.1,86.7,93.3,99.3,104.4,108.9,112.9,116.5,119.6,122.4,124.9,127.1,130.0,130.0,130.0
3000,60.2,71.0,79.8,87.4,94.1,100.0,105.2,109.8,113.8,117.4,120.6,123.5,126.0,128.2,130.0,130.0,130.0
3250,60.3,71.2,80.0,87.7,94.5,100.4,105.6,110.2,114.3,117.8,121.0,123.8,126.3,128.5,129.9,129.9,129.9
3500,60.2,71.1,79.9,87.6,94.2,100.1,105.3,109.9,113.9,117.5,120.6,123.4,125.9,128.2,129.8,129.7,129.7
3750,59.7,70.5,79.2,86.8,93.5,99.4,104.4,109.0,113.0,116.5,119.6,122.4,124.9,127.1,129.6,129.5,129.5
4000,59.0,69.7,78.2,85.7,92.2,98.0,103.1,107.5,111.5,114.9,118.0,120.8,123.2,125.4,129.0,129.3,129.3
4250,58.1,68.5,76.9,84.3,90.7,96.4,101.3,105.7,109.5,113.0,115.9,118.6,120.9,123.1,126.6,129.2,129.1
4500,56.9,67.0,75.3,82.4,88.8,94.2,99.1,103.3,107.2,110.4,113.3,116.0,118.3,120.4,123.8,126.5,128.6
4750,55.7,65.4,73.5,80.4,86.6,91.9,96.6,100.8,104.4,107.6,110.5,113.0,115.3,117.3,120.6,123.3,125.3
5000,54.3,63.7,71.6,78.3,84.2,89.5,94.0,98.0,101.6,104.7,107.4,109.9,112.1,114.0,117.2,119.8,121.7
5250,50.7,59.5,66.8,73.1,78.6,83.4,87.8,91.5,94.8,97.8,100.3,102.6,104.7,106.4,109.3,111.7,113.7
5500,47.3,55.4,62.3,68.1,73.2,77.7,81.8,85.2,88.3,91.0,93.5,95.5,97.4,99.0,101.8,104.0,105.8
5750,44.0,51.6,57.8,63.4,68.1,72.3,75.9,79.2,82.1,84.6,86.8,88.7,90.6,92.1,94.6,96.7,98.2
