rpm,map_kpa,torque,ve_f,ve_r,spark_f,spark_r,afr_cmd_f,afr_cmd_r,afr_meas_f,afr_meas_r,iat,knock,vbatt,tps
2820.94,80.54,80.39,120,121,24,22,13.0,13.0,12.81,12.75,105.0,0,13.9,20.3
2841.87,81.08,80.78,120,121,24,22,13.0,13.0,13.71,12.82,105.1,0,13.87,20.5
2862.77,81.61,81.18,120,121,24,22,13.0,13.0,13.34,12.67,105.1,0,13.9,20.8
2883.62,82.14,81.56,120,121,24,22,13.0,13.0,13.13,13.27,105.2,0,13.92,21.0
2904.42,82.67,81.95,120,121,24,22,13.0,13.0,13.7,13.14,105.2,0,13.89,21.3
2925.15,83.19,82.33,120,121,24,22,13.0,13.0,11.98,13.32,105.3,0,13.93,21.5
2945.79,83.71,82.71,120,121,24,22,13.0,13.0,13.09,12.92,105.3,0,13.91,21.8
2966.33,84.22,83.09,120,121,24,22,13.0,13.0,11.55,12.69,105.3,0,13.91,22.0
2986.76,84.72,83.46,120,121,24,22,13.0,13.0,13.98,12.79,105.4,0,13.91,22.3
3007.06,85.21,83.83,120,121,24,22,13.0,13.0,13.34,14.01,105.4,0,13.88,22.5
3027.21,85.69,84.19,120,121,24,22,13.0,13.0,13.69,11.33,105.5,0,13.85,22.7
3047.21,86.15,84.54,120,121,24,22,13.0,13.0,12.48,12.05,105.5,0,13.92,22.9
3067.05,86.61,84.89,120,121,24,22,13.0,13.0,13.82,11.71,105.5,0,13.92,23.1
3086.69,87.05,85.22,120,121,24,22,13.0,13.0,12.1,13.05,105.6,0,13.89,23.3
3106.15,87.48,85.56,120,121,24,22,13.0,13.0,13.27,14.12,105.6,0,13.91,23.5
3125.39,87.9,85.88,120,121,24,22,13.0,13.0,13.53,13.94,105.7,0,13.91,23.7
3144.41,88.29,86.19,120,121,24,22,13.0,13.0,12.52,12.35,105.7,0,13.89,23.9
3163.19,88.67,86.49,120,121,24,22,13.0,13.0,13.71,12.91,105.8,0,13.95,24.0
3181.73,89.04,86.79,120,121,24,22,13.0,13.0,12.35,11.93,105.8,0,13.92,24.2
3200.0,89.38,87.07,120,121,24,22,13.0,13.0,14.69,13.82,105.8,0,13.92,24.3
3218.0,89.71,87.34,120,121,24,22,13.0,13.0,14.71,13.13,105.9,0,13.87,24.5
3235.71,90.01,87.6,120,121,24,22,13.0,13.0,12.68,14.37,105.9,0,13.87,24.6
3253.12,90.3,87.85,120,121,24,22,13.0,13.0,13.28,13.56,106.0,0,13.89,24.7
3270.23,90.57,88.09,120,121,24,22,13.0,13.0,14.01,13.96,106.0,0,13.95,24.8
3287.01,90.81,88.31,120,121,24,22,13.0,13.0,13.91,12.58,106.0,0,13.89,24.8
3303.46,91.03,88.53,120,121,24,22,13.0,13.0,12.41,14.42,106.1,0,13.89,24.9
3319.56,91.23,88.72,120,121,24,22,13.0,13.0,13.21,14.19,106.1,0,13.89,24.9
3335.3,91.41,88.91,120,121,24,22,13.0,13.0,12.99,11.17,106.2,0,13.88,25.0
3350.68,91.57,89.08,120,121,24,22,13.0,13.0,12.71,13.82,106.2,0,13.92,25.0
3365.69,91.7,89.24,120,121,24,22,13.0,13.0,13.29,13.65,106.2,0,13.9,25.0
3380.3,91.81,89.38,120,121,24,22,13.0,13.0,14.45,14.4,106.3,0,13.91,25.0
3394.52,91.89,89.51,120,121,24,22,13.0,13.0,12.27,14.42,106.3,0,13.91,25.0
3408.32,91.95,89.62,120,121,24,22,13.0,13.0,14.61,13.34,106.4,0,13.94,24.9
