cylinder,rpm,tps_0,tps_2,tps_5,tps_10,tps_20,tps_40,tps_60,tps_80,tps_100
rear,500,0,0,0,0,0,0,0,0,0
rear,750,5,0,0,0,0,0,0,0,0
rear,1000,5,15,0,0,0,0,0,0,0
rear,1250,5,15,14,22,25,0,0,0,0
rear,1500,5,13,15,32,44,41,33,40,41
rear,1750,5,24,22,37,49,48,47,45,49
rear,2000,5,20,22,32,42,37,49,47,43
rear,2250,5,5,17,26,37,14,25,26,29
rear,2500,5,5,12,20,28,5,14,20,20
rear,2750,5,5,16,23,32,8,15,19,22
rear,3000,5,5,15,25,35,17,16,20,25
rear,3250,5,0,13,26,37,28,20,24,27
rear,3500,0,0,6,25,38,38,24,33,37
rear,3750,0,0,6,21,36,36,28,34,39
rear,4000,0,0,6,17,37,34,29,32,35
rear,4250,0,0,6,18,38,38,27,31,31
rear,4500,0,0,0,19,32,35,25,25,29
rear,4750,0,0,0,0,26,27,24,23,22
rear,5000,0,0,0,0,15,20,23,20,20
rear,5250,0,0,0,0,12,16,20,16,16
rear,5500,0,0,0,0,13,18,19,17,20
rear,5750,0,0,0,0,12,19,21,18,24
rear,6000,0,0,0,0,17,22,22,19,22
rear,6250,0,0,0,0,20,19,21,18,23
rear,6500,0,0,0,0,0,0,0,0,0
front,500,0,0,0,0,0,0,0,0,0
front,750,5,0,0,0,0,0,0,0,0
front,1000,5,7,0,0,0,0,0,0,0
front,1250,5,6,18,26,24,0,0,0,0
front,1500,5,8,16,26,33,33,38,35,34
front,1750,5,20,36,47,49,44,49,48,48
front,2000,5,18,26,46,46,34,41,39,39
front,2250,5,9,19,34,44,19,32,33,33
front,2500,5,9,23,37,39,17,22,24,24
front,2750,5,9,11,30,38,15,19,23,22
front,3000,5,9,7,28,37,23,18,24,23
front,3250,5,0,7,27,40,30,17,25,24
front,3500,0,0,4,28,41,33,23,23,25
front,3750,0,0,4,26,40,36,24,24,26
front,4000,0,0,4,18,37,37,23,25,27
front,4250,0,0,4,13,44,38,24,26,28
front,4500,0,0,0,12,43,42,25,26,23
front,4750,0,0,0,0,36,38,29,20,20
front,5000,0,0,0,0,30,30,27,18,19
front,5250,0,0,0,0,27,25,23,13,15
front,5500,0,0,0,0,26,22,21,15,14
front,5750,0,0,0,0,24,23,20,14,16
front,6000,0,0,0,0,21,22,19,13,13
front,6250,0,0,0,0,18,20,16,12,9
front,6500,0,0,0,0,0,0,0,0,0
