Engine RPM,MAP kPa,Torque,AFR Target F,AFR Target R,VE F,VE R,AFR Cmd F,AFR Cmd R,AFR Meas F,AFR Meas R,IAT F,Knock,VBatt,TPS
1800,40.49671415301123,39.12868105151368,120,121,24,22,14.7,14.7,13.946418205751957,13.914930109297835,94.6641112631277,0,13.892528918813309,15.0
1850,43.86173569882882,42.59772837058068,120,121,24,22,14.7,14.7,14.025691249295624,13.826032146998665,94.9730088992692,0,13.917296708891673,22.0
1900,48.647688538100695,43.45550554624278,120,121,24,22,14.7,14.7,14.020781711102142,13.95160710148045,94.5759736251697,0,13.909337504636307,29.0
1950,53.52302985640802,44.06631529231857,120,121,24,22,14.7,14.7,13.893937107655864,13.806235116131507,95.42799586366813,0,13.992366424253657,36.0
2000,55.765846625276666,44.78891822430124,120,121,24,22,14.7,14.7,14.00698504621352,13.815547422387072,95.54741076516575,0,13.933587247343038,43.0
2050,59.76586304305082,44.18982258393214,120,121,24,22,14.7,14.7,14.042934483241794,13.987797245351253,96.12398730182453,0,13.896162472255577,50.0
2100,65.57921281550739,46.945715244917835,120,121,24,22,14.7,14.7,14.129966149181033,14.114270313343827,96.4132981349917,0,13.871333786781987,57.0
2150,68.76743472915291,48.41913709144889,120,121,24,22,14.7,14.7,13.834679675845148,13.659653672651938,97.239830037814,0,13.851806610392273,64.0
2200,71.53052561406504,49.1791294973523,120,121,24,22,14.7,14.7,14.06180423206504,14.002907108138016,97.08229719484889,0,13.906103909076018,71.0
2250,76.54256004358596,51.68184853412991,120,121,24,22,14.7,14.7,14.061805722356725,14.270024241609104,96.68413215475631,0,13.877309477641472,78.0
2300,95.67560761503128,54.16096786122244,120,121,24,22,14.7,14.7,12.46850686128318,12.609352112497628,96.76829370592874,0,13.85733238871207,98.01289286543269
2350,95.73007596391531,58.1019781302758,120,121,24,22,14.7,14.7,12.514480211619185,12.61659151172365,97.53719320051749,0,13.880602813472725,99.1735061185927
2400,96.28146873047586,57.334633189534294,120,121,24,22,14.7,14.7,12.362167690643158,12.472885228282621,97.02509820655345,0,13.867553559891569,98.22884916163491
2450,94.82865054289451,59.33568997558674,120,121,24,22,14.7,14.7,12.307260974255492,12.338315485716292,98.49854095315025,0,13.950614249052178,97.8466296298338
2500,95.01612091650514,60.78376835594244,120,121,24,22,14.7,14.7,12.341756374260507,12.398306305411413,98.45049945254384,0,13.926449192708484,98.58058390682844
2550,95.88526614027569,60.02443446509482,120,121,24,22,14.7,14.7,12.677759028000821,12.578377812593482,98.00381910086024,0,13.899760820760502,96.45220528369448
2600,95.62479961670037,64.92133650278274,120,121,24,22,14.7,14.7,12.482351222844942,12.40333395314977,97.71900150751257,0,13.944398324166702,98.164930190676
2650,96.60820170047047,67.15032299890173,120,121,24,22,14.7,14.7,12.343368176105269,12.480484223862659,99.15857022626192,0,13.902321049229428,98.53960563572087
2700,95.8065159087515,72.88183265258331,120,121,24,22,14.7,14.7,12.407713602291455,12.371494020057112,98.78397129594151,0,13.874161473960152,96.96498962795411
2750,95.50680600199804,71.04017267079878,120,121,24,22,14.7,14.7,12.314163554888804,12.418531374803578,99.53767971627875,0,13.94569372231809,98.80062783024485
2800,97.57396567479468,73.92314431929769,120,121,24,22,14.7,14.7,13.212356004193945,13.279672691360503,98.61754808541842,0,13.91616730131054,98.23694748524609
2850,96.44179462613904,75.54596311514588,120,121,24,22,14.7,14.7,13.305468620788458,13.303340592979994,99.22833509720147,0,13.868882615370207,97.70929846026944
2900,96.69809535195789,75.94134111807851,120,121,24,22,14.7,14.7,13.55727329071904,13.657986812504483,99.68294854371706,0,13.894289839657493,98.4429473062744
2950,95.70357921206018,81.457537425532,120,121,24,22,14.7,14.7,13.056982889601088,13.121899234782642,99.91240925878249,0,13.873731452398458,99.58948500046307
3000,96.36893209283237,82.85594653331445,120,121,24,22,14.7,14.7,13.220585624227795,13.338780291011494,99.9263567901317,0,13.85851600807107,98.12730637854095
3050,96.87569392756991,84.8182253616869,120,121,24,22,14.7,14.7,13.204897511388076,13.245718596070725,100.56828890910921,0,13.92778532642595,98.17375441041024
3100,96.03928458289982,84.0733434178782,120,121,24,22,14.7,14.7,13.360598473477655,13.479858889011265,100.10486672186398,0,13.957282499214104,97.67844737032183
3150,97.15371889120222,89.23309484217474,120,121,24,22,14.7,14.7,13.155964431153308,13.179204332286032,100.68772905705532,0,13.858042972785427,97.40510894137465
3200,96.51478761984492,86.58758241467376,120,121,24,22,14.7,14.7,13.243006562660685,13.24074022405479,101.0055650611954,0,13.916889077100718,98.58123507158098
3250,96.77424549206188,90.98719570315305,120,121,24,22,14.7,14.7,13.511854508833732,13.594253045710609,101.37598829958094,0,13.880480722926345,97.40074132186379
3300,96.5990644780958,94.65046720752352,120,121,24,22,14.7,14.7,13.148693925479796,13.272122881244178,101.66762467463981,0,13.88538623848706,98.05009636605358
3350,98.35725490093607,90.96573405249717,120,121,24,22,14.7,14.7,13.554658743641516,13.687255964485608,101.14588784411592,0,13.882228182272835,97.66563978726442
3400,97.09012975042819,92.50682203257675,120,121,24,22,14.7,14.7,13.11767560408552,13.128936878256221,101.19486497000362,1,13.874080276909606,98.33528587802248
3450,96.39655993444904,94.21926326795598,120,121,24,22,14.7,14.7,13.452029337902395,13.445415780652894,102.53234732450409,0,13.901455648838345,98.23356347370087
3500,97.74852866217428,93.82956326824467,120,121,24,22,14.7,14.7,13.353258331377548,13.465229055651896,102.36696815798332,0,13.875071496507669,98.72627796098052
3550,96.35230611467028,92.56992855688274,120,121,24,22,14.7,14.7,13.188768343410631,13.234006314925688,102.14741389601566,0,13.908113704773395,97.64298852080168
3600,97.38556267797732,95.10284446220903,120,121,24,22,14.7,14.7,12.911047919191713,12.879096907884971,103.28003525829412,1,13.898492856716526,97.81108754529464
3650,95.89831721212659,93.30246813289278,120,121,24,22,14.7,14.7,13.269691821832822,13.219869167275634,102.91861027924907,0,13.892831558594008,97.31486539895238
3700,96.36930787144776,95.29516539537174,120,121,24,22,14.7,14.7,13.495889356471796,13.431478046234947,103.55682525660426,0,13.872773090138752,97.68899471794673
3750,97.4639759553653,92.69064986897381,120,121,24,22,14.7,14.7,13.247194661596362,13.30765390777925,103.32487973298957,0,13.88269686008295,98.2641103451314
3800,97.86837990785041,95.68117023450722,120,121,24,22,14.7,14.7,13.072952794687934,12.908083822593579,104.33493746782513,0,13.922661736774772,98.52989203165174
3850,97.49480118063794,91.27665860168884,120,121,24,22,14.7,14.7,13.039579650258595,12.990398295140162,104.42554059229643,0,13.915027515628731,97.35448427307566
3900,97.31535682529454,90.88169149450003,120,121,24,22,14.7,14.7,12.782218961874246,12.769187239815308,103.83658455337432,0,13.870673342656044,98.60872414407396
3950,97.20505240855006,91.32718588850715,120,121,24,22,14.7,14.7,12.923887163468816,12.825869813296112,104.53756455059451,0,13.902979969162876,98.94894650116346
4000,96.39839381542201,86.84406253421126,120,121,24,22,14.7,14.7,12.908376250198803,12.827551162449861,104.61985250749363,0,13.922541613701155,98.28940443225659
4050,96.9449977935573,87.47009327767678,120,121,24,22,14.7,14.7,12.91362208143015,12.916592535391834,105.12192070811933,0,13.84991784156636,99.31375706879065
4100,97.13994472860088,87.39813873149396,120,121,24,22,14.7,14.7,13.090322017937442,12.941296778031294,104.40126465832115,0,13.916300805771398,97.4583475606275
