Engine RPM,MAP kPa,Torque,AFR Target F,AFR Target R,VE F,VE R,AFR Cmd F,AFR Cmd R,AFR Meas F,AFR Meas R,IAT F,Knock,VBatt,TPS
2009.57,30.45,80.0,120,121,24,22,14.7,14.7,12.98,12.89,105.0,0,13.91,20.0
2018.77,30.88,80.39,120,121,24,22,14.7,14.7,13.12,13.08,105.0,0,13.9,20.3
2026.55,31.08,80.78,120,121,24,22,14.7,14.7,13.02,13.05,105.1,0,13.91,20.5
2032.19,31.48,81.18,120,121,24,22,14.7,14.7,13.0,13.08,105.1,0,13.9,20.8
2044.54,31.65,81.56,120,121,24,22,14.7,14.7,12.77,12.86,105.2,0,13.88,21.0
2057.17,32.35,81.95,120,121,24,22,14.7,14.7,12.84,13.03,105.2,0,13.89,21.3
2067.51,33.1,82.33,120,121,24,22,14.7,14.7,13.1,13.07,105.3,0,13.89,21.5
2075.36,33.45,82.71,120,121,24,22,14.7,14.7,13.26,12.91,105.3,0,13.88,21.8
2087.66,34.38,83.09,120,121,24,22,14.7,14.7,13.17,13.03,105.3,0,13.87,22.0
2096.07,35.17,83.46,120,121,24,22,14.7,14.7,12.95,12.97,105.4,0,13.91,22.3
2107.81,36.36,83.83,120,121,24,22,14.7,14.7,12.97,12.89,105.4,0,13.92,22.5
2116.11,36.84,84.19,120,121,24,22,14.7,14.7,13.01,12.78,105.5,0,13.88,22.7
2124.4,37.47,84.54,120,121,24,22,14.7,14.7,13.09,13.02,105.5,0,13.92,22.9
2137.08,38.05,84.89,120,121,24,22,14.7,14.7,12.99,13.17,105.5,0,13.9,23.1
2152.94,38.44,85.22,120,121,24,22,14.7,14.7,13.03,12.89,105.6,0,13.9,23.3
2167.21,39.19,85.56,120,121,24,22,14.7,14.7,13.11,12.94,105.6,0,13.89,23.5
2175.33,39.69,85.88,120,121,24,22,14.7,14.7,13.04,13.08,105.7,0,13.89,23.7
2184.24,40.22,86.19,120,121,24,22,14.7,14.7,12.82,13.1,105.7,0,13.9,23.9
2201.09,40.8,86.49,120,121,24,22,14.7,14.7,13.06,12.97,105.8,0,13.93,24.0
2206.05,41.6,86.79,120,121,24,22,14.7,14.7,13.1,13.08,105.8,0,13.89,24.2
2212.3,42.16,87.07,120,121,24,22,14.7,14.7,12.93,13.13,105.8,0,13.87,24.3
2221.12,42.73,87.34,120,121,24,22,14.7,14.7,13.04,12.96,105.9,0,13.91,24.5
2232.67,43.38,87.6,120,121,24,22,14.7,14.7,12.97,13.13,105.9,0,13.93,24.6
2244.49,43.97,87.85,120,121,24,22,14.7,14.7,13.08,13.02,106.0,0,13.93,24.7
2254.85,44.62,88.09,120,121,24,22,14.7,14.7,12.89,13.0,106.0,0,13.9,24.8
2263.03,45.38,88.31,120,121,24,22,14.7,14.7,13.08,12.93,106.0,0,13.87,24.8
2274.38,45.87,88.53,120,121,24,22,14.7,14.7,13.01,12.97,106.1,0,13.91,24.9
2287.43,46.16,88.72,120,121,24,22,14.7,14.7,13.25,12.81,106.1,0,13.91,24.9
2296.51,46.63,88.91,120,121,24,22,14.7,14.7,13.32,12.96,106.2,0,13.91,25.0
2305.04,46.92,89.08,120,121,24,22,14.7,14.7,13.02,12.78,106.2,0,13.94,25.0
2314.54,47.94,89.24,120,121,24,22,14.7,14.7,13.27,12.93,106.2,0,13.87,25.0
2322.9,48.58,89.38,120,121,24,22,14.7,14.7,13.01,12.9,106.3,0,13.89,25.0
2336.62,49.22,89.51,120,121,24,22,14.7,14.7,13.04,13.21,106.3,0,13.91,25.0
2347.55,49.35,89.62,120,121,24,22,14.7,14.7,13.01,13.06,106.4,0,13.89,24.9
2354.09,49.62,89.72,120,121,24,22,14.7,14.7,12.71,13.0,106.4,0,13.91,24.9
2368.66,50.14,89.81,120,121,24,22,14.7,14.7,12.98,12.91,106.5,0,13.93,24.8
2381.64,50.79,89.88,120,121,24,22,14.7,14.7,13.23,13.03,106.5,0,13.9,24.8
2398.59,51.74,89.93,120,121,24,22,14.7,14.7,12.97,13.06,106.5,0,13.87,24.7
2401.82,51.67,89.97,120,121,24,22,14.7,14.7,13.03,12.92,106.6,0,13.88,24.6
2405.75,52.27,89.99,120,121,24,22,14.7,14.7,13.1,13.03,106.6,0,13.93,24.5
2415.34,52.57,90.0,120,121,24,22,14.7,14.7,12.76,12.99,106.7,0,13.9,24.3
2424.26,52.85,89.99,120,121,24,22,14.7,14.7,13.02,13.04,106.7,0,13.89,24.2
2434.05,52.97,89.97,120,121,24,22,14.7,14.7,13.18,13.1,106.7,0,13.92,24.0
2441.91,53.67,89.93,120,121,24,22,14.7,14.7,12.98,12.94,106.8,0,13.94,23.9
2453.61,53.6,89.88,120,121,24,22,14.7,14.7,13.03,13.03,106.8,0,13.91,23.7
2457.49,53.76,89.81,120,121,24,22,14.7,14.7,13.23,13.25,106.9,0,13.86,23.5
2469.8,53.68,89.72,120,121,24,22,14.7,14.7,12.97,13.21,106.9,0,13.91,23.3
2474.13,54.27,89.62,120,121,24,22,14.7,14.7,12.92,13.14,106.9,0,13.87,23.1
2485.08,55.31,89.51,120,121,24,22,14.7,14.7,12.98,12.94,107.0,0,13.91,22.9
2495.37,55.53,89.38,120,121,24,22,14.7,14.7,13.07,12.98,107.0,0,13.88,22.7
2509.06,55.99,89.24,120,121,24,22,14.7,14.7,13.08,12.98,107.1,0,13.92,22.5
2518.51,56.74,89.08,120,121,24,22,14.7,14.7,12.95,12.9,107.1,0,13.89,22.3
2525.56,57.49,88.91,120,121,24,22,14.7,14.7,13.23,13.08,107.1,0,13.87,22.0
2534.42,57.97,88.72,120,121,24,22,14.7,14.7,12.95,12.94,107.2,0,13.88,21.8
2542.14,59.01,88.53,120,121,24,22,14.7,14.7,12.95,13.05,107.2,0,13.89,21.5
2553.59,59.73,88.31,120,121,24,22,14.7,14.7,12.98,13.18,107.2,0,13.88,21.3
2562.4,60.59,88.09,120,121,24,22,14.7,14.7,12.42,12.56,107.3,0,13.89,21.0
2569.62,60.89,87.85,120,121,24,22,14.7,14.7,12.55,12.41,107.3,0,13.89,20.8
2582.74,61.57,87.6,120,121,24,22,14.7,14.7,12.54,12.31,107.4,0,13.89,20.5
2590.84,62.1,87.34,120,121,24,22,14.7,14.7,12.62,12.52,107.4,0,13.89,20.3
2597.21,62.81,87.07,120,121,24,22,14.7,14.7,12.45,12.58,107.4,0,13.9,20.0
2606.95,63.32,86.79,120,121,24,22,14.7,14.7,12.48,12.65,107.5,0,13.94,19.7
2615.99,63.8,86.49,120,121,24,22,14.7,14.7,12.33,12.65,107.5,0,13.87,19.5
2618.25,63.7,86.19,120,121,24,22,14.7,14.7,12.34,12.53,107.6,0,13.88,19.2
2630.08,63.87,85.88,120,121,24,22,14.7,14.7,12.49,12.46,107.6,0,13.9,19.0
2644.35,64.4,85.56,120,121,24,22,14.7,14.7,12.38,12.54,107.6,0,13.91,18.7
2653.99,65.16,85.22,120,121,24,22,14.7,14.7,12.49,12.65,107.7,0,13.9,18.5
2662.94,65.35,84.89,120,121,24,22,14.7,14.7,12.57,12.28,107.7,0,13.92,18.2
2668.95,65.62,84.54,120,121,24,22,14.7,14.7,12.54,12.44,107.7,0,13.88,18.0
2682.97,66.57,84.19,120,121,24,22,14.7,14.7,12.48,12.3,107.8,0,13.89,17.7
2693.36,67.27,83.83,120,121,24,22,14.7,14.7,12.41,12.63,107.8,0,13.89,17.5
2704.38,67.62,83.46,120,121,24,22,14.7,14.7,12.49,12.39,107.9,0,13.92,17.3
2718.62,68.19,83.09,120,121,24,22,14.7,14.7,12.63,12.57,107.9,0,13.9,17.1
2731.22,68.71,82.71,120,121,24,22,14.7,14.7,12.26,12.5,107.9,0,13.91,16.9
2744.92,69.26,82.33,120,121,24,22,14.7,14.7,12.44,12.36,108.0,0,13.88,16.7
2750.83,69.95,81.95,120,121,24,22,14.7,14.7,12.5,12.63,108.0,0,13.92,16.5
2758.89,70.37,81.56,120,121,24,22,14.7,14.7,12.54,12.54,108.0,0,13.9,16.3
2767.41,71.2,81.18,120,121,24,22,14.7,14.7,12.4,12.45,108.1,0,13.93,16.1
2780.32,71.62,80.78,120,121,24,22,14.7,14.7,12.44,12.35,108.1,0,13.93,16.0
2793.41,72.36,80.39,120,121,24,22,14.7,14.7,12.64,12.62,108.1,0,13.88,15.8
2800.81,72.98,80.0,120,121,24,22,14.7,14.7,12.56,12.35,108.2,0,13.94,15.7
2815.51,73.11,79.61,120,121,24,22,14.7,14.7,12.33,12.46,108.2,0,13.85,15.5
2824.82,74.15,79.22,120,121,24,22,14.7,14.7,12.3,12.55,108.3,0,13.9,15.4
2840.64,74.71,78.82,120,121,24,22,14.7,14.7,12.43,12.39,108.3,0,13.91,15.3
2850.12,75.26,78.44,120,121,24,22,14.7,14.7,12.56,12.65,108.3,0,13.88,15.2
2865.33,75.69,78.05,120,121,24,22,14.7,14.7,12.48,12.76,108.4,0,13.92,15.2
2870.29,76.23,77.67,120,121,24,22,14.7,14.7,12.3,12.44,108.4,0,13.91,15.1
2881.46,76.64,77.29,120,121,24,22,14.7,14.7,12.4,12.35,108.4,0,13.9,15.1
2891.39,76.87,76.91,120,121,24,22,14.7,14.7,12.49,12.51,108.5,0,13.9,15.0
2902.81,76.87,76.54,120,121,24,22,14.7,14.7,12.55,12.35,108.5,0,13.9,15.0
2916.43,77.32,76.17,120,121,24,22,14.7,14.7,12.52,12.59,108.5,0,13.9,15.0
2926.89,77.58,75.81,120,121,24,22,14.7,14.7,12.47,12.55,108.6,0,13.89,15.0
2939.25,77.83,75.46,120,121,24,22,14.7,14.7,12.44,12.47,108.6,0,13.9,15.0
2950.14,78.64,75.11,120,121,24,22,14.7,14.7,12.39,12.65,108.6,0,13.91,15.1
2961.75,79.2,74.78,120,121,24,22,14.7,14.7,12.51,12.48,108.7,0,13.9,15.1
2967.67,79.76,74.44,120,121,24,22,14.7,14.7,12.45,12.26,108.7,0,13.91,15.2
2980.23,80.24,74.12,120,121,24,22,14.7,14.7,12.44,12.21,108.7,0,13.9,15.2
2992.22,80.65,73.81,120,121,24,22,14.7,14.7,12.51,12.62,108.8,0,13.9,15.3
3000.15,81.01,73.51,120,121,24,22,14.7,14.7,12.48,12.47,108.8,0,13.88,15.4
3003.86,81.61,73.21,120,121,24,22,14.7,14.7,12.23,12.33,108.8,0,13.91,15.5
3009.93,81.58,72.93,120,121,24,22,14.7,14.7,12.55,12.56,108.9,0,13.9,15.7
3016.03,82.04,72.66,120,121,24,22,14.7,14.7,12.38,12.58,108.9,0,13.89,15.8
3024.81,82.55,72.4,120,121,24,22,14.7,14.7,12.52,12.58,108.9,0,13.94,16.0
3038.97,83.25,72.15,120,121,24,22,14.7,14.7,12.32,12.65,109.0,0,13.89,16.1
3053.85,83.88,71.91,120,121,24,22,14.7,14.7,12.48,12.48,109.0,0,13.88,16.3
3061.68,84.25,71.69,120,121,24,22,14.7,14.7,12.57,12.38,109.0,0,13.87,16.5
3069.46,85.15,71.47,120,121,24,22,14.7,14.7,12.52,12.5,109.0,0,13.88,16.7
3080.19,85.3,71.28,120,121,24,22,14.7,14.7,12.69,12.6,109.1,0,13.9,16.9
3087.2,85.72,71.09,120,121,24,22,14.7,14.7,12.52,12.4,109.1,0,13.9,17.1
3095.18,85.56,70.92,120,121,24,22,14.7,14.7,12.52,12.62,109.1,0,13.94,17.3
3103.46,85.92,70.76,120,121,24,22,14.7,14.7,12.49,12.54,109.2,0,13.94,17.5
3113.14,86.27,70.62,120,121,24,22,14.7,14.7,12.4,12.5,109.2,0,13.88,17.7
3122.3,87.34,70.49,120,121,24,22,14.7,14.7,12.44,12.46,109.2,0,13.92,18.0
3130.62,88.27,70.38,120,121,24,22,14.7,14.7,12.61,12.28,109.3,0,13.92,18.2
3135.06,88.75,70.28,120,121,24,22,14.7,14.7,12.18,12.35,109.3,0,13.89,18.5
3145.17,88.98,70.19,120,121,24,22,14.7,14.7,12.45,12.36,109.3,0,13.9,18.7
3156.92,89.91,70.12,120,121,24,22,14.7,14.7,12.47,12.45,109.3,0,13.9,19.0
3162.23,90.52,70.07,120,121,24,22,14.7,14.7,12.3,12.57,109.4,0,13.9,19.2
3175.68,91.1,70.03,120,121,24,22,14.7,14.7,12.49,12.37,109.4,0,13.88,19.5
3185.14,91.55,70.01,120,121,24,22,14.7,14.7,12.4,12.22,109.4,0,13.91,19.7
3192.71,92.44,70.0,120,121,24,22,14.7,14.7,12.56,12.26,109.5,0,13.89,20.0
3204.5,92.84,70.01,120,121,24,22,14.7,14.7,12.4,12.64,109.5,0,13.91,20.3
3223.61,92.85,70.03,120,121,24,22,14.7,14.7,12.61,12.53,109.5,0,13.92,20.5
3231.28,93.12,70.07,120,121,24,22,14.7,14.7,12.45,12.56,109.5,0,13.92,20.8
3243.53,93.92,70.12,120,121,24,22,14.7,14.7,12.44,12.5,109.6,0,13.92,21.0
3250.5,94.45,70.19,120,121,24,22,14.7,14.7,12.7,12.53,109.6,0,13.92,21.3
3265.91,94.99,70.28,120,121,24,22,14.7,14.7,12.62,12.55,109.6,0,13.88,21.5
3279.21,95.28,70.38,120,121,24,22,14.7,14.7,12.65,12.53,109.6,0,13.92,21.8
3287.01,95.81,70.49,120,121,24,22,14.7,14.7,12.52,12.47,109.7,0,13.93,22.0
3296.41,96.25,70.62,120,121,24,22,14.7,14.7,12.41,12.6,109.7,0,13.91,22.3
3299.91,96.76,70.76,120,121,24,22,14.7,14.7,12.41,12.53,109.7,0,13.88,22.5
3306.75,97.05,70.92,120,121,24,22,14.7,14.7,12.27,12.3,109.8,0,13.87,22.7
3315.18,97.35,71.09,120,121,24,22,14.7,14.7,12.43,12.48,109.8,0,13.89,22.9
3329.96,97.92,71.28,120,121,24,22,14.7,14.7,12.46,12.15,109.8,0,13.89,23.1
3341.08,98.21,71.47,120,121,24,22,14.7,14.7,12.58,12.29,109.8,0,13.89,23.3
3352.34,98.88,71.69,120,121,24,22,14.7,14.7,12.45,12.55,109.9,0,13.84,23.5
3367.65,99.27,71.91,120,121,24,22,14.7,14.7,12.56,12.58,109.9,0,13.87,23.7
3378.91,99.58,72.15,120,121,24,22,14.7,14.7,12.23,12.61,109.9,0,13.91,23.9
3395.06,100.0,72.4,120,121,24,22,14.7,14.7,12.4,12.49,109.9,0,13.92,24.0
3399.18,100.0,72.66,120,121,24,22,14.7,14.7,12.73,12.54,110.0,0,13.92,24.2
3414.32,100.0,72.93,120,121,24,22,14.7,14.7,12.46,12.4,110.0,0,13.92,24.3
3423.27,100.0,73.21,120,121,24,22,14.7,14.7,12.49,12.38,110.0,0,13.9,24.5
3434.01,100.0,73.51,120,121,24,22,14.7,14.7,12.65,12.48,110.0,0,13.92,24.6
3446.68,99.7,73.81,120,121,24,22,14.7,14.7,12.54,12.49,110.0,0,13.91,24.7
3458.59,99.93,74.12,120,121,24,22,14.7,14.7,12.45,12.43,110.1,0,13.9,24.8
3466.41,100.0,74.44,120,121,24,22,14.7,14.7,12.62,12.6,110.1,0,13.91,24.8
3478.24,100.0,74.78,120,121,24,22,14.7,14.7,12.76,12.59,110.1,0,13.91,24.9
3489.49,100.0,75.11,120,121,24,22,14.7,14.7,12.51,12.67,110.1,0,13.9,24.9
3499.69,100.0,75.46,120,121,24,22,14.7,14.7,12.5,12.39,110.2,0,13.9,25.0
3506.28,100.0,75.81,120,121,24,22,14.7,14.7,12.52,12.57,110.2,0,13.9,25.0
3517.53,99.91,76.17,120,121,24,22,14.7,14.7,12.48,12.48,110.2,0,13.88,25.0
3527.93,100.0,76.54,120,121,24,22,14.7,14.7,12.43,12.64,110.2,0,13.91,25.0
3540.13,100.0,76.91,120,121,24,22,14.7,14.7,12.31,12.74,110.2,0,13.88,25.0
3549.5,100.0,77.29,120,121,24,22,14.7,14.7,12.3,12.37,110.3,0,13.87,24.9
3559.12,100.0,77.67,120,121,24,22,14.7,14.7,12.41,12.6,110.3,0,13.89,24.9
3569.8,100.0,78.05,120,121,24,22,14.7,14.7,12.57,12.51,110.3,0,13.9,24.8
3580.45,100.0,78.44,120,121,24,22,14.7,14.7,12.62,12.43,110.3,0,13.88,24.8
3588.46,100.0,78.82,120,121,24,22,14.7,14.7,12.64,12.46,110.3,0,13.86,24.7
3597.03,99.72,79.22,120,121,24,22,14.7,14.7,12.4,12.44,110.4,0,13.89,24.6
3605.25,100.0,79.61,120,121,24,22,14.7,14.7,12.69,12.28,110.4,0,13.88,24.5
3619.82,99.83,80.0,120,121,24,22,14.7,14.7,12.51,12.42,110.4,0,13.93,24.3
3627.39,100.0,80.39,120,121,24,22,14.7,14.7,12.45,12.48,110.4,0,13.9,24.2
3640.04,100.0,80.78,120,121,24,22,14.7,14.7,12.46,12.5,110.4,0,13.9,24.0
3647.96,100.0,81.18,120,121,24,22,14.7,14.7,12.64,12.47,110.4,0,13.87,23.9
3658.81,100.0,81.56,120,121,24,22,14.7,14.7,12.5,12.49,110.5,0,13.89,23.7
3665.86,100.0,81.95,120,121,24,22,14.7,14.7,12.47,12.43,110.5,0,13.91,23.5
3674.36,100.0,82.33,120,121,24,22,14.7,14.7,12.39,12.57,110.5,0,13.92,23.3
3684.48,100.0,82.71,120,121,24,22,14.7,14.7,12.62,12.66,110.5,0,13.9,23.1
3695.8,100.0,83.09,120,121,24,22,14.7,14.7,12.57,12.29,110.5,0,13.94,22.9
3708.41,100.0,83.46,120,121,24,22,14.7,14.7,12.41,12.47,110.5,0,13.89,22.7
3717.63,100.0,83.83,120,121,24,22,14.7,14.7,12.43,12.67,110.6,0,13.87,22.5
3723.8,100.0,84.19,120,121,24,22,14.7,14.7,12.43,12.42,110.6,0,13.89,22.3
3731.75,100.0,84.54,120,121,24,22,14.7,14.7,12.53,12.64,110.6,0,13.92,22.0
3744.1,100.0,84.89,120,121,24,22,14.7,14.7,12.29,12.52,110.6,0,13.89,21.8
3755.3,100.0,85.22,120,121,24,22,14.7,14.7,12.4,12.4,110.6,0,13.9,21.5
3761.84,100.0,85.56,120,121,24,22,14.7,14.7,12.49,12.26,110.6,0,13.89,21.3
3767.59,100.0,85.88,120,121,24,22,14.7,14.7,12.58,12.52,110.7,0,13.89,21.0
3779.86,100.0,86.19,120,121,24,22,14.7,14.7,12.62,12.66,110.7,0,13.91,20.8
3795.17,100.0,86.49,120,121,24,22,14.7,14.7,12.43,12.44,110.7,0,13.87,20.5
3803.39,100.0,86.79,120,121,24,22,14.7,14.7,12.33,12.48,110.7,0,13.92,20.3
3814.02,100.0,87.07,120,121,24,22,14.7,14.7,12.5,12.7,110.7,0,13.89,20.0
3823.96,100.0,87.34,120,121,24,22,14.7,14.7,12.6,12.5,110.7,0,13.92,19.7
3833.33,100.0,87.6,120,121,24,22,14.7,14.7,12.5,12.42,110.7,0,13.91,19.5
3843.87,100.0,87.85,120,121,24,22,14.7,14.7,12.32,12.66,110.7,0,13.88,19.2
3851.89,100.0,88.09,120,121,24,22,14.7,14.7,12.68,12.5,110.8,0,13.88,19.0
3864.42,100.0,88.31,120,121,24,22,14.7,14.7,12.61,12.49,110.8,0,13.87,18.7
3876.76,100.0,88.53,120,121,24,22,14.7,14.7,12.41,12.36,110.8,0,13.89,18.5
3888.93,100.0,88.72,120,121,24,22,14.7,14.7,12.49,12.56,110.8,0,13.91,18.2
3904.05,100.0,88.91,120,121,24,22,14.7,14.7,12.67,12.37,110.8,0,13.92,18.0
3914.69,100.0,89.08,120,121,24,22,14.7,14.7,12.52,12.56,110.8,0,13.87,17.7
3925.35,100.0,89.24,120,121,24,22,14.7,14.7,12.42,12.45,110.8,0,13.88,17.5
3936.19,100.0,89.38,120,121,24,22,14.7,14.7,12.43,12.5,110.8,0,13.88,17.3
3947.65,100.0,89.51,120,121,24,22,14.7,14.7,12.56,12.47,110.8,0,13.88,17.1
3960.14,100.0,89.62,120,121,24,22,14.7,14.7,12.43,12.51,110.9,0,13.93,16.9
3972.82,100.0,89.72,120,121,24,22,14.7,14.7,12.63,12.49,110.9,0,13.9,16.7
3980.43,100.0,89.81,120,121,24,22,14.7,14.7,12.58,12.41,110.9,0,13.92,16.5
3990.03,100.0,89.88,120,121,24,22,14.7,14.7,12.58,12.84,110.9,0,13.9,16.3
4000.53,100.0,89.93,120,121,24,22,14.7,14.7,12.32,12.5,110.9,0,13.91,16.1
4012.76,100.0,89.97,120,121,24,22,14.7,14.7,12.54,12.56,110.9,0,13.91,16.0
4023.86,100.0,89.99,120,121,24,22,14.7,14.7,12.32,12.55,110.9,0,13.91,15.8
4033.56,100.0,90.0,120,121,24,22,14.7,14.7,12.38,12.56,110.9,0,13.92,15.7
4041.29,100.0,89.99,120,121,24,22,14.7,14.7,12.56,12.38,110.9,0,13.91,15.5
4051.48,100.0,89.97,120,121,24,22,14.7,14.7,12.53,12.48,110.9,0,13.88,15.4
4060.9,100.0,89.93,120,121,24,22,14.7,14.7,12.57,12.27,110.9,0,13.86,15.3
4070.88,100.0,89.88,120,121,24,22,14.7,14.7,12.5,12.32,110.9,0,13.9,15.2
4076.04,100.0,89.81,120,121,24,22,14.7,14.7,12.46,12.49,110.9,0,13.93,15.2
4081.53,100.0,89.72,120,121,24,22,14.7,14.7,12.6,12.5,110.9,0,13.88,15.1
4092.18,100.0,89.62,120,121,24,22,14.7,14.7,12.57,12.31,111.0,0,13.89,15.1
4099.97,100.0,89.51,120,121,24,22,14.7,14.7,12.39,12.6,111.0,0,13.91,15.0
4107.96,100.0,89.38,120,121,24,22,14.7,14.7,12.43,12.64,111.0,0,13.89,15.0
4121.43,100.0,89.24,120,121,24,22,14.7,14.7,12.21,12.48,111.0,0,13.9,15.0
4130.22,100.0,89.08,120,121,24,22,14.7,14.7,12.42,12.59,111.0,0,13.91,15.0
4138.81,100.0,88.91,120,121,24,22,14.7,14.7,12.41,12.56,111.0,0,13.91,15.0
4146.77,100.0,88.72,120,121,24,22,14.7,14.7,12.47,12.75,111.0,0,13.91,15.1
4153.24,100.0,88.53,120,121,24,22,14.7,14.7,12.53,12.5,111.0,0,13.9,15.1
4162.46,100.0,88.31,120,121,24,22,14.7,14.7,12.61,12.34,111.0,0,13.89,15.2
4169.31,99.84,88.09,120,121,24,22,14.7,14.7,12.33,12.51,111.0,0,13.88,15.2
4181.9,100.0,87.85,120,121,24,22,14.7,14.7,12.41,12.4,111.0,0,13.92,15.3
4191.73,100.0,87.6,120,121,24,22,14.7,14.7,12.29,12.77,111.0,0,13.89,15.4
4201.82,100.0,87.34,120,121,24,22,14.7,14.7,12.39,12.67,111.0,0,13.92,15.5
4213.3,100.0,87.07,120,121,24,22,14.7,14.7,12.29,12.46,111.0,0,13.92,15.7
4219.5,100.0,86.79,120,121,24,22,14.7,14.7,12.35,12.56,111.0,0,13.91,15.8
4232.91,100.0,86.49,120,121,24,22,14.7,14.7,12.44,12.64,111.0,0,13.87,16.0
4241.59,100.0,86.19,120,121,24,22,14.7,14.7,12.52,12.41,111.0,0,13.89,16.1
4252.11,100.0,85.88,120,121,24,22,14.7,14.7,12.43,12.53,111.0,0,13.88,16.3
