Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Inductive 2 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 2.648, , , , , 64.78, 64.78, 64.78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 2.612, , , , 0.257, 63.908, 63.908, 63.908, 7.584, 85.038, , , , , , , , , , , , , 49.928, 49.928, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 2.568, , 7.589, 7.589, 0.932, 62.871, 62.871, 62.871, 27.438, 75.323, , 35.24, 35.095, 7.377, 22.39, 0, 0, 8.131, 8.323, 8.131, 8.323, 1, 50.115, 50.115, 0.025, 0.034, 50.629, 51.806, 50.629, 51.806, 4.76, 7.377, 22.39, , , 1, 0.066, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , 100.39, 66.42, , , 2.521, 0.977, 14.121, 14.121, 1.608, 61.758, 61.758, 61.758, 41.979, 65.609, , 35.24, 35.383, 7.377, 22.39, 0, 0, 8, 8.188, 8, 8.188, 1, 50.303, 50.303, 0.025, 0.034, 39.042, 39.949, 39.042, 39.949, 4.796, 7.377, 22.39, , , 1, 0.142, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , 100.389, 66.42, , , 2.459, 0.977, 19.681, 19.681, 2.284, 60.284, 60.284, 60.284, 47.806, 55.894, , 35.24, 35.671, 7.377, 22.39, 0, 0, 7.839, 8.022, 7.839, 8.022, 1, 50.486, 50.486, 0.025, 0.034, 33.303, 34.078, 33.303, 34.078, 4.831, 7.377, 22.39, , , 1, 0.195, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , 100.389, 66.42, , , 2.329, 0.977, 25.24, 25.24, 2.493, 57.225, 57.225, 57.225, 49.533, 60.765, , 35.24, 35.959, 7.377, 22.39, 0, 0, 7.544, 7.717, 7.544, 7.717, 1, 50.633, 50.633, 0.025, 0.034, 18.231, 18.659, 18.231, 18.659, 4.867, 7.377, 22.39, , , 1, 0.267, 0, 0, 14.6, 2.621, 174, 100, 100, 0, 56, 5.167, 4.862, 109.4, 36.515, 100, 100, 0, 40.021, 40.021, 8, 0.9, 102.5, 102.5, 109.5, 109.5, 50.976, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.621, 174, 100, 100, 0, 56, 1, 0.005, 0.005, 109.4, 36.515, 100, 100, 0, 141, 40.021, 40.021, 8, 0.9, 0, 102.5, 102.5, 109.5, 109.5, 50.976, 0, 0, 5.1, 5.1, 
0.3, , 100.389, 66.42, , , 2.312, 0.977, 29.042, 29.042, 2.506, 56.807, 56.807, 56.807, 49.525, 70.968, , 35.24, 36.247, 7.377, 22.39, 0, 0, 7.513, 7.685, 7.513, 7.685, 1, 50.75, 50.75, 0.025, 0.034, 17.313, 17.721, 17.313, 17.721, 4.913, 7.377, 22.39, , , 1, 0.341, 0, 0, 14.6, 2.629, 174, 100, 100, 0, 56, 5.153, 4.875, 109.4, 36.592, 100, 100, 0, 40.124, 40.124, 8, 0.9, 102.5, 102.5, 109.5, 109.5, 51.104, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.629, 174, 100, 100, 0, 56, 1, 0.005, 0.005, 109.4, 36.592, 100, 100, 0, 141, 40.124, 40.124, 8, 0.9, 0, 102.5, 102.5, 109.5, 109.5, 51.104, 0, 0, 5.1, 5.1, 
0.35, , 100.388, 66.42, , , 2.242, 0.977, 32.765, 32.765, 2.526, 55.167, 55.167, 55.167, , 71.915, , 35.244, 36.457, 7.377, 22.39, 0, 0, 7.312, 7.481, 7.312, 7.481, 1, 50.865, 50.865, 0.025, 0.034, , , , , 4.967, 7.377, 22.39, , , 1, 0.395, 0, 0, 14.6, 2.636, 174, 100, 100, 0, 56, 5.138, 4.887, 109.4, 36.668, 100, 100, 0, 40.227, 40.227, 8, 0.9, 102.5, 102.5, 109.5, 109.5, 51.232, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.636, 174, 100, 100, 0, 56, 1, 0.005, 0.005, 109.4, 36.668, 100, 100, 0, 141, 40.227, 40.227, 8, 0.9, 0, 102.5, 102.5, 109.5, 109.5, 51.232, 0, 0, 5.1, 5.1, 
0.4, , 100.388, 66.42, , , 2.202, 0.977, 36.508, 36.508, , 54.22, 54.22, 54.22, , , , 35.28, 36.097, 7.377, 22.39, 0, 0, 7.203, 7.37, 7.203, 7.37, 1, 50.972, 50.972, 0.025, 0.034, , , , , 5.021, 7.377, 22.39, , , 1, 0.445, 0, 0, 14.6, 2.644, 174, 100, 100, 0, 56, 5.124, 4.9, 109.4, 36.745, 100, 100, 0, 40.331, 40.331, 8, 0.9, 102.5, 102.5, 109.5, 109.5, 51.36, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.644, 174, 100, 100, 0, 56, 1, 0.005, 0.005, 109.4, 36.745, 100, 100, 0, 141, 40.331, 40.331, 8, 0.9, 0, 102.5, 102.5, 109.5, 109.5, 51.36, 0, 0, 5.1, 5.1, 
0.45, , 100.388, 66.42, , , 2.251, 0.977, 40.214, 40.214, , 55.376, 55.376, 55.376, , , , 35.316, 35.737, 7.378, 22.39, 0, 0, 7.372, 7.543, 7.372, 7.543, 1, 51.083, 51.083, 0.025, 0.034, , , , , 5.075, 7.378, 22.39, , , 1, 0.495, 0, 0, 14.6, 2.651, 174, 100, 100, 0, 56, 5.109, 4.912, 109.4, 36.821, 100, 100, 0, 40.434, 40.434, 8, 0.9, 102.5, 102.5, 109.5, 109.5, 51.488, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.651, 174, 100, 100, 0, 56, 1, 0.005, 0.005, 109.4, 36.821, 100, 100, 0, 141, 40.434, 40.434, 8, 0.9, 0, 102.5, 102.5, 109.5, 109.5, 51.488, 0, 0, 5.1, 5.1, 
