Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Inductive 2 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 3.094, , , , , 75.25, 75.25, 75.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 3.018, , , , , 73.469, 73.469, 73.469, , , , , , , , , , , , , , , 45.635, 45.635, , , , , , , , , , , , 1, 0.034, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 3.029, , 6.338, 6.338, , 73.726, 73.726, 73.726, , , , , , 7.377, 22.39, , , 8.725, 8.929, 8.725, 8.929, , 45.853, 45.853, , , , , , , , 7.377, 22.39, , , 1, 0.117, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , 3.091, , 12.69, 12.69, , 75.192, 75.192, 75.192, , , , 33.628, 38.074, 7.378, 22.39, 0, 0, 9.016, 9.227, 9.016, 9.227, 1, 46.085, 46.085, 0.025, 0.035, , , , , 4.753, 7.378, 22.39, , , 1, 0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , 3.127, , 17.766, 17.766, , 76.063, 76.063, 76.063, , , , 33.989, 37.641, 7.379, 22.39, 0, 0, 9.172, 9.385, 9.172, 9.385, 1, 46.322, 46.322, 0.025, 0.035, , , , , 4.761, 7.379, 22.39, , , 1, 0.275, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , , , , , 3.183, , 22.842, 22.842, , 77.383, 77.383, 77.383, , , , 34.351, 37.207, 7.38, 22.39, 0, 0, 9.38, 9.597, 9.38, 9.597, 1, 46.552, 46.552, 0.025, 0.035, 340.44, 348.324, 340.44, 348.324, 4.768, 7.38, 22.39, , , 1, 0.334, 0.345, 0, 14.6, 2.401, 180, 100, 100, 0, 57, 5.779, 5.3, 111.2, 38.494, 100, 100, 0, 36.069, 36.069, 8.139, 0.903, 101.139, 101.139, 109.069, 109.069, 46.686, 5.1, 5.1, 0.345, 0, 0, 14.1, 0, 14.6, 0, 2.401, 180, 100, 100, 0, 57, 1, 0.006, 0.005, 111.2, 38.494, 100, 100, 0, 141, 36.069, 36.069, 8.139, 0.903, 0, 101.139, 101.139, 109.069, 109.069, 46.686, 0, 0, 5.1, 5.1, 
0.3, , , , , , 3.21, , 27.174, 27.174, , 78.031, 78.031, 78.031, , , , 34.712, 36.773, 7.38, 22.39, 0, 0, 9.498, 9.718, 9.498, 9.718, 1, 46.712, 46.712, 0.025, 0.035, 285.272, 291.879, 285.272, 291.879, 4.775, 7.38, 22.39, , , 1, 0.384, 0.258, 0, 14.6, 2.409, 180, 100, 100, 0, 57, 5.699, 5.3, 111.2, 38.734, 100, 100, 0, 36.177, 36.177, 8.355, 0.907, 101.355, 101.355, 109.177, 109.177, 46.82, 5.1, 5.1, 0.258, 0, 0, 14.1, 0, 14.6, 0, 2.409, 180, 100, 100, 0, 57, 1, 0.006, 0.005, 111.2, 38.734, 100, 100, 0, 141, 36.177, 36.177, 8.355, 0.907, 0, 101.355, 101.355, 109.177, 109.177, 46.82, 0, 0, 5.1, 5.1, 
0.35, , , , , , 3.195, , 30.561, 30.561, 0.097, 77.682, 77.682, 77.682, 3.01, 89.016, , 35.074, 36.34, 7.379, 22.39, 0, 0, 9.487, 9.707, 9.487, 9.707, 1, 46.87, 46.87, 0.025, 0.035, 240.416, 245.985, 240.416, 245.985, 4.785, 7.379, 22.39, , , 1, 0.435, 0.171, 0, 14.6, 2.417, 180, 100, 100, 0, 57, 5.619, 5.3, 111.2, 38.974, 100, 100, 0, 36.286, 36.286, 8.571, 0.911, 101.571, 101.571, 109.286, 109.286, 46.954, 5.1, 5.1, 0.171, 0, 0, 14.1, 0, 14.6, 0, 2.417, 180, 100, 100, 0, 57, 1, 0.005, 0.005, 111.2, 38.974, 100, 100, 0, 141, 36.286, 36.286, 8.571, 0.911, 0, 101.571, 101.571, 109.286, 109.286, 46.954, 0, 0, 5.1, 5.1, 
0.4, , , , , , 3.172, , 33.995, 33.995, 0.22, 77.146, 77.146, 77.146, 6.886, 86.422, , 35.162, 36.043, 7.379, 22.39, 0, 0, 9.453, 9.673, 9.453, 9.673, 1, 47.028, 47.028, 0.025, 0.035, 145.425, 148.795, 145.425, 148.795, 4.797, 7.379, 22.39, , , 1, 0.485, 0.085, 0, 14.6, 2.424, 180, 100, 100, 0, 57, 5.538, 5.3, 111.2, 39.215, 100, 100, 0, 36.394, 36.394, 8.788, 0.916, 101.788, 101.788, 109.394, 109.394, 47.088, 5.1, 5.1, 0.085, 0, 0, 14.1, 0, 14.6, 0, 2.424, 180, 100, 100, 0, 57, 1, 0.005, 0.005, 111.2, 39.215, 100, 100, 0, 141, 36.394, 36.394, 8.788, 0.916, 0, 101.788, 101.788, 109.394, 109.394, 47.088, 0, 0, 5.1, 5.1, 
0.45, , , , , , 3.168, , 37.428, 37.428, 0.344, 77.058, 77.058, 77.058, 10.728, 83.828, , 35.018, 35.863, 7.378, 22.39, 0, 0, 9.475, 9.696, 9.475, 9.696, 1, 47.186, 47.186, 0.025, 0.035, 98.541, 100.825, 98.541, 100.825, 4.808, 7.378, 22.39, , , 1, 0.534, 0.001, 0, 14.6, 2.432, 180, 100, 100, 0, 57.01, 5.464, 5.305, 111.196, 39.452, 100, 100, 0, 36.509, 36.509, 9.002, 0.92, 102.006, 102.006, 109.502, 109.502, 47.225, 5.1, 5.1, 0.001, 0, 0, 14.1, 0, 14.6, 0, 2.432, 180, 100, 100, 0, 57.01, 1, 0.005, 0.005, 111.196, 39.452, 100, 100, 0, 141, 36.509, 36.509, 9.002, 0.92, 0, 102.006, 102.006, 109.502, 109.502, 47.225, 0, 0, 5.1, 5.1, 
0.5, , , , , , 3.211, , 40.88, 40.88, 0.468, 78.078, 78.078, 78.078, 14.485, 81.233, , 34.874, 35.683, 7.378, 22.39, 0, 0, 9.635, 9.861, 9.635, 9.861, 1, 47.344, 47.344, 0.025, 0.035, 77.233, 79.024, 77.233, 79.024, 4.82, 7.378, 22.39, , , 1, 0.584, 0.074, 0, 14.6, 2.445, 180, 100, 100, 0, 57.533, 5.656, 5.552, 111.008, 39.529, 100, 100, 0, 36.98, 36.98, 9.107, 0.929, 102.32, 102.32, 109.607, 109.607, 47.487, 5.1, 5.1, 0.074, 0, 0, 14.1, 0, 14.6, 0, 2.445, 180, 100, 100, 0, 57.533, 1, 0.005, 0.005, 111.008, 39.529, 100, 100, 0, 141, 36.98, 36.98, 9.107, 0.929, 0, 102.32, 102.32, 109.607, 109.607, 47.487, 0, 0, 5.1, 5.1, 
0.55, , 100.38, 66.52, , , 3.329, 0.977, 44.365, 44.365, 0.592, 80.875, 80.875, 80.875, 17.416, 78.639, , 34.73, 35.503, 7.377, 22.39, 0, 0, 10.018, 10.252, 10.018, 10.252, 1, 47.507, 47.507, 0.025, 0.035, 65.553, 67.072, 65.553, 67.072, 4.839, 7.377, 22.39, , , 1, 0.634, 0.146, 0, 14.6, 2.458, 180, 100, 100, 0, 58.056, 5.849, 5.799, 110.82, 39.606, 100, 100, 0, 37.451, 37.451, 9.211, 0.937, 102.634, 102.634, 109.711, 109.711, 47.748, 5.1, 5.1, 0.146, 0, 0, 14.1, 0, 14.6, 0, 2.458, 180, 100, 100, 0, 58.056, 1, 0.005, 0.006, 110.82, 39.606, 100, 100, 0, 141, 37.451, 37.451, 9.211, 0.937, 0, 102.634, 102.634, 109.711, 109.711, 47.748, 0, 0, 5.1, 5.1, 
0.6, , 100.38, 66.52, , , 3.699, 0.977, 47.799, 47.799, 0.716, 89.647, 89.647, 89.647, 19.907, 76.044, , 34.586, 35.323, 7.377, 22.39, 0, 0, 11.154, 11.412, 11.154, 11.412, 1, 47.681, 47.681, 0.025, 0.035, 62.326, 63.771, 62.326, 63.771, 4.864, 7.377, 22.39, , , 1, 0.685, 0.218, 0, 14.6, 2.471, 180, 100, 100, 0, 58.579, 6.041, 6.046, 110.631, 39.684, 100, 100, 0, 37.922, 37.922, 9.316, 0.945, 102.948, 102.948, 109.816, 109.816, 48.01, 5.1, 5.1, 0.218, 0, 0, 14.1, 0, 14.6, 0, 2.471, 180, 100, 100, 0, 58.579, 1, 0.006, 0.006, 110.631, 39.684, 100, 100, 0, 141, 37.922, 37.922, 9.316, 0.945, 0, 102.948, 102.948, 109.816, 109.816, 48.01, 0, 0, 5.1, 5.1, 
0.65, , 100.381, 66.52, , , 4.247, 0.977, 51.265, 51.265, 0.839, 102.658, 102.658, 102.658, 22.368, 73.45, , 34.52, 35.24, 7.377, 22.39, 0, 0, 12.837, 13.133, 12.837, 13.133, 1, 47.871, 47.871, 0.025, 0.035, 62.287, 63.731, 62.287, 63.731, 4.889, 7.377, 22.39, , , 1, 0.735, 0.29, 0, 14.6, 2.483, 180, 100, 100, 0, 59.103, 6.234, 6.292, 110.443, 39.761, 100, 100, 0, 38.392, 38.392, 9.421, 0.954, 103.262, 103.262, 109.921, 109.921, 48.271, 5.1, 5.1, 0.29, 0, 0, 14.1, 0, 14.6, 0, 2.483, 180, 100, 100, 0, 59.103, 1, 0.006, 0.006, 110.443, 39.761, 100, 100, 0, 141, 38.392, 38.392, 9.421, 0.954, 0, 103.262, 103.262, 109.921, 109.921, 48.271, 0, 0, 5.1, 5.1, 
0.7, , 100.381, 66.52, , , 4.975, 0.977, 54.751, 54.751, 0.963, 119.946, 119.946, 119.946, 24.771, 70.856, , 34.52, 35.24, 7.377, 22.39, 0, 0, 15.078, 15.425, 15.078, 15.425, 1, 48.102, 48.102, 0.025, 0.035, 65.054, 66.563, 65.054, 66.563, 4.914, 7.377, 22.39, , , 1, 0.784, 0.365, 0, 14.6, 2.496, 180, 100, 100, 0, 59.925, 6.547, 6.7, 110.255, 40.558, 100, 100, 0, 38.55, 38.562, 9.9, 0.979, 103.55, 103.55, 109.962, 109.962, 48.563, 5.1, 5.1, 0.365, 0, 0, 14.1, 0, 14.6, 0, 2.496, 180, 100, 100, 0, 59.925, 1, 0.006, 0.007, 110.255, 40.558, 100, 100, 0, 141, 38.55, 38.562, 9.9, 0.979, 0, 103.55, 103.55, 109.962, 109.962, 48.563, 0, 0, 5.1, 5.1, 
