Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 5.616, , , , , 135.07, 135.07, 135.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 5.591, , , , , 134.473, 134.473, 134.473, , , , , , , , , , , , , , 44.307, 44.307, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 5.586, , 5.968, 5.968, , 134.363, 134.363, 134.363, , , , , , , , , 15.707, 15.997, 15.707, 15.997, , 44.723, 44.723, 0.025, 0.034, , , , , 4.544, , , , , 1, 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , 5.63, , 12.268, 12.268, , 135.411, 135.411, 135.411, , , , , 7.38, 22.39, , , 15.97, 16.264, 15.97, 16.264, , 45.141, 45.141, 0.025, 0.034, , , , , 4.551, 7.38, 22.39, , , 1, 0.145, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , 5.913, , 17.202, 17.202, , 142.132, 142.132, 142.132, , , , , 7.38, 22.39, 0, 0, 17.028, 17.343, 17.028, 17.343, 1, 45.571, 45.571, 0.025, 0.034, , , , , 4.558, 7.38, 22.39, , , 1, 0.22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , , , , , 6.757, , 22.184, 22.184, , 162.178, 162.178, 162.178, , , 35.6, 35.898, 7.379, 22.39, 0, 0, 19.621, 19.984, 19.621, 19.984, 1, 46.018, 46.018, 0.025, 0.034, , , , , 4.565, 7.379, 22.39, , , 1, 0.296, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.3, , , , , , 7.79, , 26.702, 26.702, , 186.699, 186.699, 186.699, , , 35.6, 36.222, 7.378, 22.39, 0, 0, 22.754, 23.176, 22.754, 23.176, 1, 46.385, 46.385, 0.025, 0.034, , , , , 4.555, 7.378, 22.39, , , 1, 0.347, 0.079, 0, 14.5, 1.901, 207, 0, 0, 0, 69.164, 8.078, 8.24, 114.8, 59.646, 100, 0, 0, 28.055, 28.582, 13, 1.11, 106.5, 0, 0, 115, 46.285, 0, 0, 0.079, 0, 0, 14, 0, 14.5, 0, 1.901, 207, 0, 0, 0, 69.164, 1, 0.008, 0.008, 114.8, 59.646, 100, 0, 0, 141, 28.055, 28.582, 13, 1.11, 0, 106.5, 0, 0, 115, 46.285, 0, 0, 0, 0, 
0.35, , , , , , 8.754, , 30.086, 30.086, , 209.57, 209.57, 209.57, , , 35.6, 36.546, 7.378, 22.39, 0, 0, 25.76, 26.238, 25.76, 26.238, 1, 46.792, 46.792, 0.025, 0.034, , , , , 4.532, 7.378, 22.39, , , 1, 0.397, 0.191, 0, 14.5, 1.906, 207, 0, 0, 0, 69.397, 8.233, 8.326, 114.8, 59.502, 100, 0, 0, 28.132, 28.699, 13, 1.11, 106.5, 0, 0, 115, 46.72, 0, 0, 0.191, 0, 0, 14, 0, 14.5, 0, 1.906, 207, 0, 0, 0, 69.397, 1, 0.008, 0.008, 114.8, 59.502, 100, 0, 0, 141, 28.132, 28.699, 13, 1.11, 0, 106.5, 0, 0, 115, 46.72, 0, 0, 0, 0, 
0.4, , , , , , 9.783, , 33.469, 33.469, , 234, 234, 234, , , 35.6, 36.87, 7.377, 22.39, 0, 0, 29.025, 29.566, 29.025, 29.566, 1, 47.241, 47.241, 0.025, 0.034, , , , , 4.51, 7.377, 22.39, , , 1, 0.447, 0.303, 0, 14.5, 1.91, 207, 0, 0, 0, 69.631, 8.388, 8.411, 114.8, 59.358, 100, 0, 0, 28.21, 28.815, 13, 1.11, 106.5, 0, 0, 115, 47.155, 0, 0, 0.303, 0, 0, 14, 0, 14.5, 0, 1.91, 207, 0, 0, 0, 69.631, 1, 0.008, 0.008, 114.8, 59.358, 100, 0, 0, 141, 28.21, 28.815, 13, 1.11, 0, 106.5, 0, 0, 115, 47.155, 0, 0, 0, 0, 
0.45, , , , , , 10.569, , 36.853, 36.853, , 252.644, 252.644, 252.644, , , 35.6, 37.194, 7.377, 22.39, 0, 0, 31.632, 32.223, 31.632, 32.223, 1, 47.747, 47.747, 0.025, 0.034, , , , , 4.488, 7.377, 22.39, , , 1, 0.498, 0.415, 0, 14.5, 1.915, 207, 0, 0, 0, 69.864, 8.543, 8.497, 114.8, 59.214, 100, 0, 0, 28.288, 28.932, 13, 1.11, 106.5, 0, 0, 115, 47.591, 0, 0, 0.415, 0, 0, 14, 0, 14.5, 0, 1.915, 207, 0, 0, 0, 69.864, 1, 0.009, 0.008, 114.8, 59.214, 100, 0, 0, 141, 28.288, 28.932, 13, 1.11, 0, 106.5, 0, 0, 115, 47.591, 0, 0, 0, 0, 
