Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 2.497, , , , , 61.22, 61.22, 61.22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 2.336, , , , 0.997, 57.384, 57.384, 57.384, 19.734, 68.276, , , , , 0, 0, , , , , 1, 51.321, 51.321, , , , , , , , , , , , 1, 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 2.303, , 8.06, 8.06, 2.575, 56.613, 56.613, 56.613, 48.695, 32.754, , , 7.377, 13.821, 0, 0, 7.355, 7.549, 7.355, 7.549, 1, 51.484, 51.484, , , 19.38, 19.903, 19.38, 19.903, , 7.377, 13.821, , , 1, 0.116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , 2.3, , 14.613, 14.613, 2.513, 56.551, 56.551, 56.551, 47.124, 45.611, 34.7, 35.42, 7.377, 13.765, 0, 0, 7.445, 7.643, 7.445, 7.643, 1, 51.656, 51.656, 0.024, 0.032, 18.429, 18.927, 18.429, 18.927, 4.789, 7.377, 13.765, , , 1, 0.203, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , 2.295, , 20.262, 20.262, 2.425, 56.425, 56.425, 56.425, 45.064, 49.713, 34.92, 35.383, 7.377, 13.709, 0, 0, 7.498, 7.698, 7.498, 7.698, 1, 51.827, 51.827, 0.024, 0.032, 18.126, 18.618, 18.126, 18.618, 4.829, 7.377, 13.709, , , 1, 0.283, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , , , , , 2.305, , 25.838, 25.838, 2.338, 56.677, 56.677, 56.677, 43.259, 53.816, 35.141, 35.347, 7.377, 13.652, 0, 0, 7.647, 7.855, 7.647, 7.855, 1, 51.962, 51.962, 0.024, 0.032, 17.912, 18.4, 17.912, 18.4, 4.868, 7.377, 13.652, , , 1, 0.34, 0, 0, 13.9, 2.7, 126, 0, 0, 0, 62, , , 91.4, 37.24, 100, 0, 0, , , 8, , 102.5, 0, 0, 108.5, , 0, , 0, 0, 0, 14.1, 0, 13.9, 0, 2.7, 126, 0, 0, 0, 62, 1.032, , , 91.4, 37.24, 100, 0, 0, , , , 8, , , 102.5, 0, 0, 108.5, , 0, 0.6, 0, 0, 
0.3, , , , , , 2.241, , 29.666, 29.666, 2.25, 55.163, 55.163, 55.163, 41.585, 57.919, 35.361, 35.31, 7.377, 13.601, 0, 0, 7.459, 7.66, 7.459, 7.66, 1, 52.075, 52.075, 0.024, 0.032, 18.154, 18.648, 18.154, 18.648, 4.907, 7.377, 13.601, , , 1, 0.39, 0, 0, 13.91, 2.708, 126, 0, 0, 0, 62, 5.489, 5.121, 91.04, 37.24, 100, 0, 0, 43.648, 43.648, 8, 0.9, 102.5, 0, 0, 108.45, 52.383, 0, 0, 0, 0, 0, 14.1, 0, 13.91, 0, 2.708, 126, 0, 0, 0, 62, 1.032, 0.005, 0.005, 91.04, 37.24, 100, 0, 0, 141, 43.648, 43.648, 8, 0.9, 0, 102.5, 0, 0, 108.45, 52.383, 0, 0.59, 0, 0, 
0.35, , , , , , 2.225, , 33.443, 33.443, 2.162, 54.789, 54.789, 54.789, 39.877, 62.021, 35.582, 35.273, 7.377, 13.579, 0, 0, 7.425, 7.625, 7.425, 7.625, 1, 52.185, 52.185, 0.024, 0.032, 18.836, 19.348, 18.836, 19.348, 4.927, 7.377, 13.579, , , 1, 0.441, 0, 0, 13.92, 2.717, 126, 0, 0, 0, 62, 5.488, 5.122, 90.68, 37.24, 100, 0, 0, 43.798, 43.798, 8, 0.9, 102.5, 0, 0, 108.4, 52.57, 0, 0, 0, 0, 0, 14.1, 0, 13.92, 0, 2.717, 126, 0, 0, 0, 62, 1.032, 0.005, 0.005, 90.68, 37.24, 100, 0, 0, 141, 43.798, 43.798, 8, 0.9, 0, 102.5, 0, 0, 108.4, 52.57, 0, 0.58, 0, 0, 
0.4, , , , , , 2.244, , 37.245, 37.245, 2.074, 55.24, 55.24, 55.24, 38.174, 66.124, 35.773, 35.204, 7.377, 13.557, 0, 0, 7.502, 7.705, 7.502, 7.705, 1, 52.295, 52.295, 0.024, 0.032, 19.854, 20.392, 19.854, 20.392, 4.945, 7.377, 13.557, , , 1, 0.491, 0, 0, 13.93, 2.725, 126, 0, 0, 0, 62, 5.487, 5.123, 90.32, 37.24, 100, 0, 0, 43.949, 43.949, 8, 0.9, 102.5, 0, 0, 108.35, 52.757, 0, 0, 0, 0, 0, 14.1, 0, 13.93, 0, 2.725, 126, 0, 0, 0, 62, 1.032, 0.005, 0.005, 90.32, 37.24, 100, 0, 0, 141, 43.949, 43.949, 8, 0.9, 0, 102.5, 0, 0, 108.35, 52.757, 0, 0.57, 0, 0, 
0.45, , , , , , 2.255, , 41.073, 41.073, 2.013, 55.501, 55.501, 55.501, 36.501, 62.241, 35.701, 34.844, 7.378, 13.543, 0, 0, 7.554, 7.758, 7.554, 7.758, 1, 52.408, 52.408, 0.024, 0.032, 20.833, 21.396, 20.833, 21.396, 4.963, 7.378, 13.543, , , 1, 0.541, 0, 0, 13.94, 2.733, 126, 0, 0, 0, 62, 5.486, 5.124, 89.96, 37.24, 100, 0, 0, 44.099, 44.099, 8, 0.9, 102.5, 0, 0, 108.3, 52.943, 0, 0, 0, 0, 0, 14.1, 0, 13.94, 0, 2.733, 126, 0, 0, 0, 62, 1.032, 0.005, 0.005, 89.96, 37.24, 100, 0, 0, 141, 44.099, 44.099, 8, 0.9, 0, 102.5, 0, 0, 108.3, 52.943, 0, 0.56, 0, 0, 
