Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Inductive 2 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 5.21, , , , , 125.45, 125.45, 125.45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 5.118, , , , , 123.279, 123.279, 123.279, , , 94.932, , , , , , , , , , , , 45.291, 45.291, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 5.042, , 6.204, 6.204, , 121.478, 121.478, 121.478, , , 88.806, , , , , , , 14.279, 14.617, 14.279, 14.617, , 45.661, 45.661, , , , , , , , , , , , 1, 0.046, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , 4.989, , 12.589, 12.589, , 120.234, 120.234, 120.234, , , 82.68, 35.128, 34.892, 7.379, 22.39, 0, 0, 14.23, 14.566, 14.23, 14.566, 1, 46.031, 46.031, 0.025, 0.034, , , , , 4.803, 7.379, 22.39, , , 1, 0.14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , 4.992, , 17.665, 17.665, , 120.3, 120.3, 120.3, , , 76.553, 35.2, 35.288, 7.377, 22.39, 0, 0, 14.355, 14.694, 14.355, 14.694, 1, 46.397, 46.397, 0.025, 0.034, , , , , 4.771, 7.377, 22.39, , , 1, 0.218, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , , , , , 5.174, , 22.741, 22.741, , 124.62, 124.62, 124.62, , , 70.427, 35.272, 35.684, 7.377, 22.39, 0, 0, 15.1, 15.456, 15.1, 15.456, 1, 46.749, 46.749, 0.025, 0.033, , , , , 4.74, 7.377, 22.39, , , 1, 0.272, 0.239, 0, 14.6, 2.385, 165, 100, 100, 0, 62.225, 7.652, 7.364, 104, 48.936, 100, 100, 0, 35.812, 35.576, 11.848, 1.109, 103.33, 103.33, 110.5, 110.5, 46.448, 5.1, 5.1, 0.239, 0, 0, 14.1, 0, 14.6, 0, 2.385, 165, 100, 100, 0, 62.225, 1.008, 0.008, 0.008, 104, 48.938, 100, 100, 0, 141, 35.812, 35.576, 11.848, 1.109, 0, 103.33, 103.33, 110.5, 110.5, 46.448, 0, 0, 5.1, 5.1, 
0.3, , , , , , 5.649, , 27.127, 27.127, , 135.912, 135.912, 135.912, , , 64.301, 35.344, 36.08, 7.377, 22.39, 0, 0, 16.681, 17.073, 16.681, 17.073, 1, 47.014, 47.014, 0.025, 0.033, , , , , 4.709, 7.377, 22.39, , , 1, 0.343, 0.484, 0, 14.6, 2.405, 165, 100, 100, 0, 63.475, 8.379, 7.929, 104, 49.574, 100, 100, 0, 35.619, 35.143, 12.713, 1.148, 103.666, 103.666, 110.5, 110.5, 46.926, 5.1, 5.1, 0.484, 0, 0, 14.1, 0, 14.6, 0, 2.405, 165, 100, 100, 0, 63.475, 1.008, 0.009, 0.008, 104, 49.579, 100, 100, 0, 141, 35.619, 35.143, 12.713, 1.148, 0, 103.666, 103.666, 110.5, 110.5, 46.926, 0, 0, 5.1, 5.1, 
0.35, , , , , , 6.498, , 30.561, 30.561, , 156.047, 156.047, 156.047, , , 58.174, 35.416, 36.476, 7.377, 22.39, 0, 0, 19.291, 19.745, 19.291, 19.745, 1, 47.318, 47.318, 0.025, 0.033, , , , , 4.688, 7.377, 22.39, , , 1, 0.397, 0.728, 0, 14.6, 2.425, 165, 100, 100, 0, 64.725, 9.106, 8.495, 104, 50.213, 100, 100, 0, 35.427, 34.711, 13.579, 1.187, 104.003, 104.003, 110.5, 110.5, 47.404, 5.1, 5.1, 0.728, 0, 0, 14.1, 0, 14.6, 0, 2.425, 165, 100, 100, 0, 64.725, 1.008, 0.009, 0.009, 104, 50.22, 100, 100, 0, 141, 35.427, 34.711, 13.579, 1.187, 0, 104.003, 104.003, 110.5, 110.5, 47.404, 0, 0, 5.1, 5.1, 
0.4, , , , , , 7.798, , 33.995, 33.995, , 186.909, 186.909, 186.909, , , 52.048, 35.42, 36.297, 7.377, 22.39, 0, 0, 23.313, 23.862, 23.313, 23.862, 1, 47.667, 47.667, 0.025, 0.033, , , , , 4.703, 7.377, 22.39, , , 1, 0.447, 0.972, 0, 14.6, 2.445, 165, 100, 100, 0, 65.975, 9.833, 9.06, 104, 50.851, 100, 100, 0, 35.235, 34.278, 14.444, 1.227, 104.339, 104.339, 110.5, 110.5, 47.882, 5.1, 5.1, 0.972, 0, 0, 14.1, 0, 14.6, 0, 2.445, 165, 100, 100, 0, 65.975, 1.008, 0.01, 0.009, 104, 50.861, 100, 100, 0, 141, 35.235, 34.278, 14.444, 1.227, 0, 104.339, 104.339, 110.5, 110.5, 47.882, 0, 0, 5.1, 5.1, 
0.45, , , , , , 9.259, , 37.429, 37.429, , 221.572, 221.572, 221.572, , , 45.922, 35.42, 36.081, 7.377, 22.39, 0, 0, 27.895, 28.551, 27.895, 28.551, 1, 48.068, 48.068, 0.025, 0.033, , , , , 4.718, 7.377, 22.39, , , 1, 0.497, 1.216, 0, 14.6, 2.466, 165, 100, 100, 0, 67.225, 10.56, 9.626, 104, 51.49, 100, 100, 0, 35.042, 33.845, 15.31, 1.266, 104.676, 104.676, 110.5, 110.5, 48.36, 5.1, 5.1, 1.216, 0, 0, 14.1, 0, 14.6, 0, 2.466, 165, 100, 100, 0, 67.225, 1.008, 0.011, 0.01, 104, 51.502, 100, 100, 0, 141, 35.042, 33.845, 15.31, 1.266, 0, 104.676, 104.676, 110.5, 110.5, 48.36, 0, 0, 5.1, 5.1, 
