Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 1.453, , , , , 36.4, 36.4, 36.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 1.697, , , , , 42.185, 42.185, 42.185, , , , , , , , , , , , , , 48.826, 48.826, , , , , , , , , , , , 1, 0.006, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 4.086, , 7.288, 7.288, , 98.866, 98.866, 98.866, , , , , 7.38, 22.39, , , 14.954, 15.243, 14.954, 15.243, , 48.981, 48.981, , , , , , , , 7.38, 22.39, , , 1, 0.08, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, 18.559, , , 70.92, , 6.746, , 13.723, 13.723, , 161.976, 161.976, 161.976, , , 35.57, 35.09, 7.378, 22.39, 0, 0, 24.764, 25.242, 24.764, 25.242, 1, 49.642, 49.642, , , , , , , , 7.378, 22.39, , , 1, 0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, 18.558, , , 70.921, , 8.685, , 19.118, 19.118, , 208.003, 208.003, 208.003, , , 35.534, 35.126, 7.377, 22.372, 0, 0, 30.867, 31.463, 30.867, 31.463, 1, 50.523, 50.523, , , , , , , , 7.377, 22.372, , , 1, 0.231, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, 18.557, , , 70.921, , 12.897, , 24.59, 24.59, , 307.95, 307.95, 307.95, , , 35.498, 35.162, 7.377, 22.239, 0, 0, 41.918, 42.727, 41.918, 42.727, 1, 51.355, 51.355, 0.025, 0.034, , , , , 4.724, 7.377, 22.239, , , 1, 0.304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.3, 18.556, , , 70.921, , 13.745, , 28.697, 28.697, , 328.086, 328.086, 328.086, , , 35.462, 35.198, 7.377, 22.113, 0, 0, 44.667, 45.529, 44.667, 45.529, 1, 52.087, 52.087, 0.025, 0.034, , , , , 4.757, 7.377, 22.113, , , 1, 0.354, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.35, 18.555, , , 70.922, , 13.807, , 33.518, 33.518, , 329.56, 329.56, 329.56, , , 35.426, 35.234, 7.378, 22.029, 0, 0, 45.606, 46.485, 45.606, 46.485, 1, 53.095, 53.095, 0.025, 0.034, 908.507, 926.038, 908.507, 926.038, 4.789, 7.378, 22.029, , , 1, 0.405, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.4, 18.553, , , 70.922, , 13.841, , 38.584, 38.584, , 330.393, 330.393, 330.393, , , 35.269, 35.27, 7.378, 21.955, 0, 0, 46.498, 47.392, 46.498, 47.392, 1, 53.779, 53.779, 0.025, 0.034, 615.948, 627.833, 615.948, 627.833, 4.822, 7.378, 21.955, , , 1, 0.454, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.45, 18.552, , , 70.923, , 13.899, , 42.419, 42.419, , 331.774, 331.774, 331.774, , , 35.089, 35.306, 7.379, 21.967, 0, 0, 47.273, 48.18, 47.273, 48.18, 1, 54.454, 54.454, 0.025, 0.034, 535.693, 546.028, 535.693, 546.028, 4.854, 7.379, 21.967, , , 1, 0.504, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
