rpm_idx,tps_idx,rpm_k,tps_pct,n,lc2_avg,target_avg,corr_avg,map_avg,rpm_meas_avg,tps_meas_avg
6,2,1.75,5,2,12.858,14.584,0.8817,35.8,1872,4.0
7,2,2,5,57,13.040,14.568,0.8951,36.6,1984,4.6
8,2,2.25,5,49,12.830,14.598,0.8789,35.1,2276,5.7
8,3,2.25,7.3,6,13.177,14.578,0.9039,36.1,2360,6.7
9,2,2.5,5,169,12.946,14.682,0.8817,30.9,2485,5.1
9,3,2.5,7.3,34,13.081,14.552,0.8990,37.4,2521,7.9
10,2,2.75,5,69,12.788,14.658,0.8725,32.1,2750,6.0
10,3,2.75,7.3,7,11.814,14.526,0.8133,38.7,2641,8.1
10,4,2.75,10,61,12.842,14.492,0.8860,39.5,2773,9.4
11,2,3,5,54,12.507,14.679,0.8520,31.1,2946,6.0
11,3,3,7.3,77,12.203,14.643,0.8334,32.8,3127,7.5
11,4,3,10,94,12.520,14.458,0.8658,40.4,3066,10.6
11,5,3,15,19,11.919,14.190,0.8400,46.2,3060,13.7
11,7,3,25,6,12.215,13.353,0.9147,62.9,3199,24.7
12,3,3.5,7.3,19,12.165,14.634,0.8312,33.3,3292,8.2
12,4,3.5,10,32,12.327,14.516,0.8492,38.8,3339,11.3
12,5,3.5,15,103,11.777,14.171,0.8311,46.6,3491,15.7
12,6,3.5,20,22,12.079,13.952,0.8658,51.0,3594,19.3
12,7,3.5,25,23,12.367,13.592,0.9099,58.2,3505,23.7
13,4,4,10,1,12.404,14.698,0.8439,30.1,4248,12.2
13,5,4,15,55,11.845,14.503,0.8167,39.1,4043,15.2
13,6,4,20,29,12.790,14.193,0.9011,46.1,3979,18.8
13,7,4,25,5,12.906,13.524,0.9544,59.5,3803,26.2
13,8,4,30,9,13.235,13.380,0.9892,62.4,3967,29.5
13,9,4,40,10,13.041,12.949,1.0071,72.6,3906,35.6
14,5,4.5,15,87,12.214,14.614,0.8358,34.3,4410,15.0
