cylinder,rpm_idx,tps_idx,rpm_k,tps_pct,n,lc2_avg,target_avg,corr_meas,corr_applied,ve_base,ve_new,delta,delta_pct
front,7,2,2,5,57,13.04,14.57,0.8951,0.9000,89.31,80.38,-8.931,-10.00
front,8,2,2.25,5,49,12.83,14.60,0.8789,0.9000,91.23,82.11,-9.123,-10.00
front,8,3,2.25,7.3,6,13.18,14.58,0.9039,0.9039,98.09,88.66,-9.426,-9.61
front,9,2,2.5,5,169,12.95,14.68,0.8817,0.9000,87.23,78.51,-8.723,-10.00
front,9,3,2.5,7.3,34,13.08,14.55,0.8990,0.9000,93.16,83.85,-9.316,-10.00
front,10,2,2.75,5,69,12.79,14.66,0.8725,0.9000,88.86,79.97,-8.886,-10.00
front,10,3,2.75,7.3,7,11.81,14.53,0.8133,0.9000,100.67,90.61,-10.067,-10.00
front,10,4,2.75,10,61,12.84,14.49,0.8860,0.9000,94.92,85.42,-9.492,-10.00
front,11,2,3,5,54,12.51,14.68,0.8520,0.9000,85.06,76.55,-8.506,-10.00
front,11,3,3,7.3,77,12.20,14.64,0.8334,0.9000,95.34,85.81,-9.534,-10.00
front,11,4,3,10,94,12.52,14.46,0.8658,0.9000,96.65,86.98,-9.665,-10.00
front,11,5,3,15,19,11.92,14.19,0.8400,0.9000,108.20,97.38,-10.820,-10.00
front,11,7,3,25,6,12.21,13.35,0.9147,0.9147,109.18,99.86,-9.313,-8.53
front,12,3,3.5,7.3,19,12.16,14.63,0.8312,0.9000,103.71,93.34,-10.371,-10.00
front,12,4,3.5,10,32,12.33,14.52,0.8492,0.9000,103.18,92.86,-10.318,-10.00
front,12,5,3.5,15,103,11.78,14.17,0.8311,0.9000,117.41,105.67,-11.741,-10.00
front,12,6,3.5,20,22,12.08,13.95,0.8658,0.9000,119.80,107.82,-11.980,-10.00
front,12,7,3.5,25,23,12.37,13.59,0.9099,0.9099,118.71,108.02,-10.696,-9.01
front,13,5,4,15,55,11.85,14.50,0.8167,0.9000,126.97,114.28,-12.697,-10.00
front,13,6,4,20,29,12.79,14.19,0.9011,0.9011,126.00,113.54,-12.461,-9.89
front,13,7,4,25,5,12.91,13.52,0.9544,0.9544,124.39,118.72,-5.672,-4.56
front,14,5,4.5,15,87,12.21,14.61,0.8358,0.9000,121.14,109.03,-12.114,-10.00
rear,7,2,2,5,57,13.04,14.57,0.8951,0.9000,98.33,88.50,-9.833,-10.00
rear,8,2,2.25,5,49,12.83,14.60,0.8789,0.9000,100.05,90.04,-10.005,-10.00
rear,8,3,2.25,7.3,6,13.18,14.58,0.9039,0.9039,108.15,97.76,-10.393,-9.61
rear,9,2,2.5,5,169,12.95,14.68,0.8817,0.9000,94.83,85.35,-9.483,-10.00
rear,9,3,2.5,7.3,34,13.08,14.55,0.8990,0.9000,101.97,91.77,-10.197,-10.00
rear,10,2,2.75,5,69,12.79,14.66,0.8725,0.9000,95.62,86.06,-9.562,-10.00
rear,10,3,2.75,7.3,7,11.81,14.53,0.8133,0.9000,106.27,95.64,-10.627,-10.00
rear,10,4,2.75,10,61,12.84,14.49,0.8860,0.9000,100.12,90.11,-10.012,-10.00
rear,11,2,3,5,54,12.51,14.68,0.8520,0.9000,88.80,79.92,-8.880,-10.00
rear,11,3,3,7.3,77,12.20,14.64,0.8334,0.9000,100.23,90.21,-10.023,-10.00
rear,11,4,3,10,94,12.52,14.46,0.8658,0.9000,101.24,91.12,-10.124,-10.00
rear,11,5,3,15,19,11.92,14.19,0.8400,0.9000,113.25,101.92,-11.325,-10.00
rear,11,7,3,25,6,12.21,13.35,0.9147,0.9147,112.31,102.73,-9.580,-8.53
rear,12,3,3.5,7.3,19,12.16,14.63,0.8312,0.9000,108.28,97.46,-10.828,-10.00
rear,12,4,3.5,10,32,12.33,14.52,0.8492,0.9000,108.16,97.34,-10.816,-10.00
rear,12,5,3.5,15,103,11.78,14.17,0.8311,0.9000,124.05,111.64,-12.405,-10.00
rear,12,6,3.5,20,22,12.08,13.95,0.8658,0.9000,125.20,112.68,-12.520,-10.00
rear,12,7,3.5,25,23,12.37,13.59,0.9099,0.9099,123.60,112.46,-11.136,-9.01
rear,13,5,4,15,55,11.85,14.50,0.8167,0.9000,136.04,122.44,-13.604,-10.00
rear,13,6,4,20,29,12.79,14.19,0.9011,0.9011,129.46,116.66,-12.804,-9.89
rear,13,7,4,25,5,12.91,13.52,0.9544,0.9544,129.08,123.19,-5.886,-4.56
rear,14,5,4.5,15,87,12.21,14.61,0.8358,0.9000,128.39,115.55,-12.839,-10.00
