Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 2.04, , , , , 50.81, 50.81, 50.81, , , , , 7.377, 14.128, , , , , , , , 70.069, 70.069, , , , , , , , 7.377, 14.128, , , 1, 0.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 2.035, , 7.003, 7.003, , 50.691, 50.691, 50.691, , , , , 7.379, 14.153, , , 9.351, 9.494, 9.351, 9.494, , 70.222, 70.222, , , , , , , , 7.379, 14.153, , , 1, 0.075, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , 2.074, , 16.446, 16.446, , 51.623, 51.623, 51.623, , , , , 7.38, 14.178, , , 9.546, 9.692, 9.546, 9.692, , 70.377, 70.377, 0.025, 0.133, 16.701, 16.957, 16.701, 16.957, 5.887, 7.38, 14.178, , , 1, 0.149, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , 2.316, , 24.75, 24.75, 2.993, 57.381, 57.381, 57.381, 42.484, , , , 7.38, 14.22, 0, 0, 10.637, 10.804, 10.637, 10.804, 1, 70.536, 70.536, 0.025, 0.133, 18.633, 18.919, 18.633, 18.919, 5.906, 7.38, 14.22, , , 1, 0.2, 0.174, 0, 14.408, 2.993, 178, 0, 0, 0, 55.992, 5.151, 4.714, 122, 37.694, 100, 0, 0, 42.413, 42.496, 9.579, 0.962, 87.534, 0, 0, 91.451, 71.045, 0, 0, 0.174, 0, 0, 14.017, 0, 14.408, 0, 2.993, 178, 0, 0, 0, 55.992, 1, 0.005, 0.004, 122, 37.694, 100, 0, 0, 141, 42.413, 42.496, 9.579, 0.962, 0, 87.534, 0, 0, 91.451, 71.045, 0, 0, 0, 0, 
0.25, , , , , , 2.77, , 32.534, 32.534, 3.001, 68.156, 68.156, 68.156, 42.485, , , , 7.38, 14.263, 0, 0, 12.671, 12.87, 12.671, 12.87, 1, 70.724, 70.724, 0.025, 0.133, 22.137, 22.479, 22.137, 22.479, 5.926, 7.38, 14.263, , , 1, 0.348, 0.377, 0, 14.418, 3.001, 178, 0, 0, 0, 57.146, 5.629, 5.057, 122, 38.651, 100, 0, 0, 42.894, 43.073, 10.252, 0.988, 88.736, 0, 0, 92.557, 71.284, 0, 0, 0.377, 0, 0, 14.036, 0, 14.418, 0, 3.001, 178, 0, 0, 0, 57.146, 1, 0.006, 0.005, 122, 38.651, 100, 0, 0, 141, 42.894, 43.073, 10.252, 0.988, 0, 88.736, 0, 0, 92.557, 71.284, 0, 0, 0, 0, 
0.3, , , , , , 3.131, , 40.108, 40.108, 3.009, 76.721, 76.721, 76.721, 42.47, , 35.685, 37.006, 7.381, 14.282, 0, 0, 14.294, 14.519, 14.294, 14.519, 1, 70.906, 70.906, 0.025, 0.134, 24.921, 25.307, 24.921, 25.307, 5.945, 7.381, 14.282, , , 1, 0.4, 0.58, 0, 14.427, 3.009, 178, 0, 0, 0, 58.3, 6.107, 5.399, 122, 39.609, 100, 0, 0, 43.375, 43.65, 10.925, 1.014, 89.938, 0, 0, 93.662, 71.522, 0, 0, 0.58, 0, 0, 14.055, 0, 14.427, 0, 3.009, 178, 0, 0, 0, 58.3, 1, 0.006, 0.005, 122, 39.609, 100, 0, 0, 141, 43.375, 43.65, 10.925, 1.014, 0, 89.938, 0, 0, 93.662, 71.522, 0, 0, 0, 0, 
0.35, , , , , , 3.452, , 45.277, 45.277, 3.017, 84.343, 84.343, 84.343, 42.458, , 35.541, 36.682, 7.382, 14.301, 0, 0, 15.75, 15.998, 15.75, 15.998, 1, 71.071, 71.071, 0.025, 0.134, 27.4, 27.827, 27.4, 27.827, 5.954, 7.382, 14.301, , , 1, 0.451, 0.783, 0, 14.437, 3.017, 178, 0, 0, 0, 59.454, 6.585, 5.741, 122, 40.567, 100, 0, 0, 43.856, 44.227, 11.598, 1.04, 91.139, 0, 0, 94.768, 71.76, 0, 0, 0.783, 0, 0, 14.074, 0, 14.437, 0, 3.017, 178, 0, 0, 0, 59.454, 1, 0.007, 0.006, 122, 40.567, 100, 0, 0, 141, 43.856, 44.227, 11.598, 1.04, 0, 91.139, 0, 0, 94.768, 71.76, 0, 0, 0, 0, 
0.4, , , , , , 3.773, , 50.413, 50.413, 3.025, 91.96, 91.96, 91.96, 42.449, , 35.397, 36.358, 7.383, 14.249, 0, 0, 17.215, 17.484, 17.215, 17.484, 1, 71.25, 71.25, 0.025, 0.134, 29.881, 30.345, 29.881, 30.345, 5.954, 7.383, 14.249, , , 1, 0.501, 0.986, 0, 14.447, 3.025, 178, 0, 0, 0, 60.608, 7.063, 6.084, 122, 41.524, 100, 0, 0, 44.337, 44.804, 12.271, 1.066, 92.341, 0, 0, 95.874, 71.999, 0, 0, 0.986, 0, 0, 14.093, 0, 14.447, 0, 3.025, 178, 0, 0, 0, 60.608, 1, 0.007, 0.006, 122, 41.524, 100, 0, 0, 141, 44.337, 44.804, 12.271, 1.066, 0, 92.341, 0, 0, 95.874, 71.999, 0, 0, 0, 0, 
0.45, , , , , , 4.082, , 55.674, 55.674, 3.031, 99.302, 99.302, 99.302, 42.441, , 35.253, 36.034, 7.384, 14.195, 0, 0, 18.64, 18.93, 18.64, 18.93, 1, 71.446, 71.446, 0.025, 0.135, 32.273, 32.775, 32.273, 32.775, 5.954, 7.384, 14.195, , , 1, 0.55, 1.116, 0, 14.457, 3.031, 178, 0, 0, 0, 61.552, 7.431, 6.395, 122, 42.435, 100, 0, 0, 44.569, 45.138, 12.845, 1.088, 93.544, 0, 0, 96.975, 72.165, 0, 0, 1.116, 0, 0, 14.1, 0, 14.457, 0, 3.031, 178, 0, 0, 0, 61.552, 1, 0.008, 0.007, 122, 42.435, 100, 0, 0, 141, 44.569, 45.138, 12.845, 1.088, 0, 93.544, 0, 0, 96.975, 72.165, 0, 0, 0, 0, 
