Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 4.913, , 2.919, 2.919, , 119.47, 119.47, 119.47, , , , , , , , , 27.322, 27.743, 27.322, 27.743, , 87.041, 87.041, , , , , , , , , , , , 1, 0.025, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, 19.98, , , 72.3, , 4.957, , 13.621, 13.621, , 120.518, 120.518, 120.518, , , 36.005, 35.803, , , 0, 0, 27.681, 28.107, 27.681, 28.107, 1, 87.413, 87.413, 0.025, 0.139, , , , , 6.68, , , , , 1, 0.099, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, 19.981, , , 72.301, , 5.081, , 24.512, 24.512, , 123.479, 123.479, 123.479, , , 35.861, 36.019, 7.38, 14.008, 0, 0, 28.485, 28.923, 28.485, 28.923, 1, 87.787, 87.787, 0.025, 0.139, 40.483, 41.106, 40.483, 41.106, 6.68, 7.38, 14.008, , , 1, 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, 19.982, , , 72.302, , 5.233, , 34.05, 34.05, , 127.097, 127.097, 127.097, , , 35.717, 36.235, 7.38, 14.052, 0, 0, 29.447, 29.903, 29.447, 29.903, 1, 88.17, 88.17, 0.025, 0.14, 41.463, 42.1, 41.463, 42.1, 6.68, 7.38, 14.052, , , 1, 0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, 19.982, , , 72.302, , 5.423, , 43.778, 43.778, 3.735, 131.605, 131.605, 131.605, 42.461, , 35.573, 36.451, 7.38, 14.085, 0, 0, 30.613, 31.086, 30.613, 31.086, 1, 88.559, 88.559, 0.025, 0.14, 42.748, 43.405, 42.748, 43.405, 6.68, 7.38, 14.085, , , 1, 0.346, 0.354, 0, 14.5, 3.735, 192, 0, 0, 0, 71.202, 8.418, 7.351, 123.8, 49.495, 100, 0, 0, 45.899, 45.899, 20.205, 1.402, 110.705, 0, 0, 114.705, 89.11, 0, 0, 0.354, 0, 0, 14, 0, 14.5, 0, 3.735, 192, 0, 0, 0, 71.205, 1, 0.008, 0.007, 123.8, 49.495, 100, 0, 0, 141, 45.899, 45.899, 20.205, 1.402, 0, 110.705, 0, 0, 114.705, 89.11, 0, 0, 0, 0, 
0.3, 19.983, , , 72.303, , 5.572, , 51.236, 51.236, 3.747, 135.144, 135.144, 135.144, 42.468, , 35.429, 36.667, 7.379, 14.11, 0, 0, 31.534, 32.02, 31.534, 32.02, 1, 88.833, 88.833, 0.025, 0.14, 43.898, 44.573, 43.898, 44.573, 6.63, 7.379, 14.11, , , 1, 0.4, 0.287, 0, 14.5, 3.747, 192, 0, 0, 0, 71.412, 8.426, 7.466, 123.8, 49.96, 100, 0, 0, 45.794, 45.794, 20.414, 1.415, 110.914, 0, 0, 114.914, 89.371, 0, 0, 0.287, 0, 0, 14, 0, 14.5, 0, 3.747, 192, 0, 0, 0, 71.414, 1, 0.008, 0.007, 123.8, 49.96, 100, 0, 0, 141, 45.794, 45.794, 20.414, 1.415, 0, 110.914, 0, 0, 114.914, 89.371, 0, 0, 0, 0, 
0.35, 19.984, , , 72.304, , 5.757, , 57.722, 57.722, 3.759, 139.546, 139.546, 139.546, 42.467, , 35.555, 36.443, 7.378, 14.124, 0, 0, 32.666, 33.169, 32.666, 33.169, 1, 89.114, 89.114, 0.025, 0.139, 45.334, 46.032, 45.334, 46.032, 6.566, 7.378, 14.124, , , 1, 0.451, 0.221, 0, 14.5, 3.759, 192, 0, 0, 0, 71.622, 8.435, 7.582, 123.8, 50.424, 100, 0, 0, 45.689, 45.689, 20.623, 1.427, 111.123, 0, 0, 115.123, 89.631, 0, 0, 0.221, 0, 0, 14, 0, 14.5, 0, 3.759, 192, 0, 0, 0, 71.623, 1, 0.008, 0.008, 123.8, 50.424, 100, 0, 0, 141, 45.689, 45.689, 20.623, 1.427, 0, 111.123, 0, 0, 115.123, 89.631, 0, 0, 0, 0, 
0.4, 19.985, , , 72.305, , 5.94, , 64.208, 64.208, 3.771, 143.906, 143.906, 143.906, 42.451, , 35.699, 36.191, 7.377, 14.128, 0, 0, 33.796, 34.315, 33.796, 34.315, 1, 89.405, 89.405, 0.025, 0.139, 46.763, 47.484, 46.763, 47.484, 6.501, 7.377, 14.128, , , 1, 0.501, 0.154, 0, 14.5, 3.771, 192, 0, 0, 0, 71.832, 8.443, 7.698, 123.8, 50.888, 100, 0, 0, 45.584, 45.584, 20.833, 1.44, 111.333, 0, 0, 115.333, 89.892, 0, 0, 0.154, 0, 0, 14, 0, 14.5, 0, 3.771, 192, 0, 0, 0, 71.833, 1, 0.008, 0.008, 123.8, 50.888, 100, 0, 0, 141, 45.584, 45.584, 20.833, 1.44, 0, 111.333, 0, 0, 115.333, 89.892, 0, 0, 0, 0, 
0.45, 19.985, , , 72.305, , 6.096, , 70.695, 70.695, 3.782, 147.603, 147.603, 147.603, 42.43, , 35.843, 35.939, 7.377, 14.127, 0, 0, 34.78, 35.313, 34.78, 35.313, 1, 89.703, 89.703, 0.025, 0.139, 47.984, 48.723, 47.984, 48.723, 6.436, 7.377, 14.127, , , 1, 0.551, 0.102, 0, 14.5, 3.782, 192, 0, 0, 0, 72, 8.485, 7.878, 123.8, 51.393, 100, 0, 0, 45.48, 45.46, 21.12, 1.455, 111.62, 0, 0, 115.64, 90.174, 0, 0, 0.102, 0, 0, 14, 0, 14.5, 0, 3.782, 192, 0, 0, 0, 72, 1, 0.008, 0.008, 123.8, 51.393, 100, 0, 0, 141, 45.48, 45.46, 21.12, 1.455, 0, 111.62, 0, 0, 115.64, 90.174, 0, 0, 0, 0, 
