Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , , , , , , , , , , 79.22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , , , , , , , , , , 76.996, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , , , , , , , , , , 74.771, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , , , , , , , , , , 72.547, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , , , , , , , , , , 70.323, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , , , , , , , , , , , , , , 68.099, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.3, , , , , , , , , , , , , , , 65.874, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.35, , , , , , , , , , , , , , , 63.65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.4, , , , , , 3.665, , , , , 89.101, 89.101, 89.101, , 61.426, 35.06, 37.305, 7.377, 12.529, 0, 0, , , , , 1, 59.581, 59.581, , , , , , , , 7.377, 12.529, , , 1, 0.044, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.45, , , , , , 7.45, , 10.09, 10.09, , 178.91, 178.91, 178.91, , 59.201, 35.06, 36.775, 7.377, 12.483, 0, 0, 28.369, 28.76, 28.369, 28.76, 1, 59.932, 59.932, 0.025, 0.137, , , , , 5.318, 7.377, 12.483, , , 1, 0.137, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.5, , , , , , 11.287, , 17.095, 17.095, , 269.955, 269.955, 269.955, , 56.977, 35.06, 36.246, 7.377, 12.39, 0, 0, 43.355, 43.952, 43.355, 43.952, 1, 60.669, 60.669, 0.025, 0.136, 85.358, 86.533, 85.358, 86.533, 5.337, 7.377, 12.39, , , 1, 0.195, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.55, , , , , , 13.548, , 23.703, 23.703, 3.12, 323.612, 323.612, 323.612, 51.563, 54.753, 35.06, 35.716, 7.377, 12.279, 0, 0, 52.709, 53.434, 52.709, 53.434, 1, 61.602, 61.602, 0.025, 0.136, 89.956, 91.196, 89.956, 91.196, 5.357, 7.377, 12.279, , , 1, 0.287, 1.085, 0, 14.233, 3.12, 183, 0, 0, 0, 60.32, 8, 7.364, 123.8, 41.912, 100, 0, 0, 43.504, 43.548, 13.08, 1.119, 102.532, 0, 0, 106.856, 60.598, 0, 0, 1.085, 0, 0, 14.091, 0, 14.233, 0, 3.12, 183, 0, 0, 0, 60.32, 1, 0.008, 0.007, 123.8, 41.912, 100, 0, 0, 141, 43.504, 43.548, 13.08, 1.119, 0, 102.532, 0, 0, 106.856, 60.598, 0, 0, 0, 0, 
0.6, , , , , , 14.438, , 30.401, 30.401, 3.142, 344.746, 344.746, 344.746, 51.288, 56.647, 35.06, 35.187, 7.377, 12.193, 0, 0, 56.802, 57.582, 56.802, 57.582, 1, 62.586, 62.586, 0.025, 0.135, 93.481, 94.77, 93.481, 94.77, 5.376, 7.377, 12.193, , , 1, 0.345, 1.209, 0, 13.853, 3.142, 183, 0, 0, 0, 63.32, 10.182, 9.964, 123.8, 50.03, 100, 0, 0, 40.104, 40.248, 20.08, 1.435, 100.332, 0, 0, 104.256, 61.344, 0, 0, 1.209, 0, 0, 14.071, 0, 13.853, 0, 3.142, 183, 0, 0, 0, 63.32, 1, 0.01, 0.01, 123.8, 50.03, 100, 0, 0, 141, 40.104, 40.248, 20.08, 1.435, 0, 100.332, 0, 0, 104.256, 61.344, 0, 0, 0, 0, 
0.65, , , , , , 14.761, , 35.654, 35.654, 3.165, 352.434, 352.434, 352.434, 50.952, 60.142, 35.144, 35.004, 7.377, 12.118, 0, 0, 58.701, 59.507, 58.701, 59.507, 1, 63.3, 63.3, 0.025, 0.135, 95.866, 97.187, 95.866, 97.187, 5.382, 7.377, 12.118, , , 1, 0.395, 1.333, 0, 13.473, 3.165, 183, 0, 0, 0, 66.32, 12.364, 12.564, 123.8, 58.148, 100, 0, 0, 36.704, 36.948, 27.08, 1.751, 98.132, 0, 0, 101.656, 62.09, 0, 0, 1.333, 0, 0, 14.051, 0, 13.473, 0, 3.165, 183, 0, 0, 0, 66.32, 1, 0.012, 0.012, 123.8, 58.148, 100, 0, 0, 141, 36.704, 36.948, 27.08, 1.751, 0, 98.132, 0, 0, 101.656, 62.09, 0, 0, 0, 0, 
0.7, , , , , , 14.875, , 40.199, 40.199, 3.187, 355.15, 355.15, 355.15, 50.693, 63.638, 35.254, 34.931, 7.377, 12.089, 0, 0, 59.818, 60.639, 59.818, 60.639, 1, 64.029, 64.029, 0.025, 0.136, 96.858, 98.191, 96.858, 98.191, 5.383, 7.377, 12.089, , , 1, 0.445, 1.457, 0, 13.093, 3.187, 183, 0, 0, 0, 69.32, 14.546, 15.164, 123.8, 66.266, 100, 0, 0, 33.304, 33.648, 34.08, 2.067, 95.932, 0, 0, 99.056, 62.836, 0, 0, 1.457, 0, 0, 14.031, 0, 13.093, 0, 3.187, 183, 0, 0, 0, 69.32, 1, 0.015, 0.015, 123.8, 66.266, 100, 0, 0, 141, 33.304, 33.648, 34.08, 2.067, 0, 95.932, 0, 0, 99.056, 62.836, 0, 0, 0, 0, 
0.75, 17.34, , , 74.73, , 14.959, , 44.832, 44.832, 3.209, 357.163, 357.163, 357.163, 50.558, 67.133, 35.364, 34.857, 7.377, 12.082, 0, 0, 60.838, 61.674, 60.838, 61.674, 1, 64.754, 64.754, 0.025, 0.136, 97.594, 98.939, 97.594, 98.939, 5.385, 7.377, 12.082, , , 1, 0.494, 1.581, 0, 12.713, 3.209, 183, 0, 0, 0, 72.32, 16.728, 17.764, 123.8, 74.384, 100, 0, 0, 29.904, 30.348, 41.08, 2.383, 93.732, 0, 0, 96.456, 63.582, 0, 0, 1.581, 0, 0, 14.011, 0, 12.713, 0, 3.209, 183, 0, 0, 0, 72.32, 1, 0.017, 0.018, 123.8, 74.384, 100, 0, 0, 141, 29.904, 30.348, 41.08, 2.383, 0, 93.732, 0, 0, 96.456, 63.582, 0, 0, 0, 0, 
0.8, 17.34, , , 74.73, , 15.054, , 49.502, 49.502, 3.238, 359.448, 359.448, 359.448, 50.495, 70.628, 35.474, 34.784, 7.377, 12.153, 0, 0, 61.928, 62.778, 61.928, 62.778, 1, 65.526, 65.526, 0.025, 0.136, 98.337, 99.692, 98.337, 99.692, 5.386, 7.377, 12.153, , , 1, 0.544, 1.51, 0, 12.5, 3.238, 183, 0, 0, 0, 74, 17.728, 18.924, 123.8, 80.929, 100, 0, 0, 28.042, 28.5, 49.654, 2.718, 91.781, 0, 0, 94.323, 64.316, 0, 0, 1.51, 0, 0, 14, 0, 12.5, 0, 3.238, 183, 0, 0, 0, 74, 1, 0.018, 0.019, 123.8, 80.929, 100, 0, 0, 141, 28.042, 28.5, 49.654, 2.718, 0, 91.781, 0, 0, 94.323, 64.316, 0, 0, 0, 0, 
0.85, 17.34, , , 74.73, , 15.193, , 55.659, 55.659, 3.273, 362.77, 362.77, 362.77, 50.448, 74.124, 35.585, 34.71, 7.378, 12.264, 0, 0, 63.431, 64.303, 63.431, 64.303, 1, 66.586, 66.586, 0.025, 0.136, 99.329, 100.697, 99.329, 100.697, 5.402, 7.378, 12.264, , , 1, 0.595, 1.193, 0, 12.5, 3.273, 183, 0, 0, 0, 74, 17.224, 18.251, 123.8, 85.471, 100, 0, 0, 28.138, 28.5, 60.231, 3.078, 90.146, 0, 0, 92.785, 65.033, 0, 0, 1.193, 0, 0, 14, 0, 12.5, 0, 3.273, 183, 0, 0, 0, 74, 1, 0.017, 0.018, 123.8, 85.471, 100, 0, 0, 141, 28.138, 28.5, 60.231, 3.078, 0, 90.146, 0, 0, 92.785, 65.033, 0, 0, 0, 0, 
0.9, 17.34, , , 74.73, , 15.308, , 61.329, 61.329, 3.308, 365.521, 365.521, 365.521, 50.431, 77.619, 35.6, 34.855, 7.378, 12.439, 0, 0, 64.759, 65.65, 64.759, 65.65, 1, 67.329, 67.329, 0.025, 0.135, 100.127, 101.507, 100.127, 101.507, 5.432, 7.378, 12.439, , , 1, 0.645, 0.876, 0, 12.5, 3.308, 183, 0, 0, 0, 74, 16.721, 17.578, 123.8, 90.013, 100, 0, 0, 28.235, 28.5, 70.808, 3.437, 88.512, 0, 0, 91.246, 65.75, 0, 0, 0.876, 0, 0, 14, 0, 12.5, 0, 3.308, 183, 0, 0, 0, 74, 1, 0.017, 0.018, 123.8, 90.013, 100, 0, 0, 141, 28.235, 28.5, 70.808, 3.437, 0, 88.512, 0, 0, 91.246, 65.75, 0, 0, 0, 0, 
0.95, 17.34, , , 74.73, , 15.395, , 66.158, 66.158, 3.344, 367.596, 367.596, 367.596, 50.426, 81.115, 35.6, 35.035, 7.379, 12.65, 0, 0, 65.842, 66.749, 65.842, 66.749, 1, 68.081, 68.081, 0.025, 0.135, 100.706, 102.094, 100.706, 102.094, 5.461, 7.379, 12.65, , , 1, 0.695, 0.558, 0, 12.5, 3.344, 183, 0, 0, 0, 74, 16.217, 16.905, 123.8, 94.556, 100, 0, 0, 28.331, 28.5, 81.385, 3.797, 86.877, 0, 0, 89.708, 66.468, 0, 0, 0.558, 0, 0, 14, 0, 12.5, 0, 3.344, 183, 0, 0, 0, 74, 1, 0.016, 0.017, 123.8, 94.556, 100, 0, 0, 141, 28.331, 28.5, 81.385, 3.797, 0, 86.877, 0, 0, 89.708, 66.468, 0, 0, 0, 0, 
1, 17.34, , , 74.73, , 15.494, , 71.023, 71.023, 3.379, 369.957, 369.957, 369.957, 50.431, 84.61, 35.6, 35.215, 7.379, 12.874, 0, 0, 66.986, 67.91, 66.986, 67.91, 1, 68.832, 68.832, 0.025, 0.135, 101.342, 102.74, 101.342, 102.74, 5.491, 7.379, 12.874, , , 1, 0.745, 0.241, 0, 12.5, 3.379, 183, 0, 0, 0, 74, 15.713, 16.232, 123.8, 99.098, 100, 0, 0, 28.427, 28.5, 91.962, 4.157, 85.242, 0, 0, 88.169, 67.185, 0, 0, 0.241, 0, 0, 14, 0, 12.5, 0, 3.379, 183, 0, 0, 0, 74, 1, 0.015, 0.016, 123.8, 99.098, 100, 0, 0, 141, 28.427, 28.5, 91.962, 4.157, 0, 85.242, 0, 0, 88.169, 67.185, 0, 0, 0, 0, 
