Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , -6.026, , 4.267, 4.267, , -139.178, -139.178, -139.178, , , , , 7.377, 22.39, , , -40.44, -41.492, -40.44, -41.492, , 111.837, 111.837, , , , , , , , 7.377, 22.39, , , 1, 0.025, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, 24.85, , , 64.92, , -5.928, , 18.197, 18.197, , -136.884, -136.884, -136.884, , , , , 7.377, 22.39, 0, 0, -39.614, -40.647, -39.614, -40.647, 1, 111.386, 111.386, , , , , , , , 7.377, 22.39, , , 1, 0.099, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, 24.848, , , 64.92, , -5.931, , 30.516, 30.516, , -136.96, -136.96, -136.96, , , 34.392, 35.093, 7.377, 22.39, 0, 0, -39.484, -40.514, -39.484, -40.514, 1, 111.022, 111.022, 0.025, 0.034, , , , , 8.56, 7.377, 22.39, , , 1, 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, 24.846, , , 64.92, , -5.925, , 40.499, 40.499, , -136.838, -136.838, -136.838, , , 34.644, 35.129, 7.377, 22.39, 0, 0, -39.31, -40.335, -39.31, -40.335, 1, 110.583, 110.583, 0.025, 0.034, , , , , 8.556, 7.377, 22.39, , , 1, 0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, 24.844, , , 64.92, , -5.91, , 52.577, 52.577, , -136.494, -136.494, -136.494, , , 34.896, 35.165, 7.377, 22.39, 0, 0, -39.055, -40.074, -39.055, -40.074, 1, 110.132, 110.132, 0.025, 0.034, , , , , 8.552, 7.377, 22.39, , , 1, 0.349, 0, 0, 12.5, 5.817, 178, 0, 0, 0, 45, 0, 0, 86.151, 12.88, 100, 0, 0, 12, 12, 0, 0.55, 100.5, 0, 0, 103.5, 111.745, 0, 0, 0, 0, 0, 14.1, 0, 12.5, 0, 5.817, 178, 0, 0, 0, 45, 1, 0, 0, 86.151, 12.88, 100, 0, 0, 141, 12, 12, 0, 0.55, 0, 100.5, 0, 0, 103.5, 111.745, 0, 0, 0, 0, 
0.3, 24.842, , , 64.92, , -5.892, , 64.879, 64.879, , -136.083, -136.083, -136.083, , , 35.148, 35.201, 7.378, 22.39, 0, 0, -38.806, -39.818, -38.806, -39.818, 1, 109.725, 109.725, 0.025, 0.034, , , , , 8.548, 7.378, 22.39, , , 1, 0.4, 0, 0, 12.5, 5.802, 178, 0, 0, 0, 45, 0, 0, 86.511, 12.88, 100, 0, 0, 12, 12, 0, 0.55, 100.5, 0, 0, 103.5, 111.495, 0, 0, 0, 0, 0, 14.1, 0, 12.5, 0, 5.802, 178, 0, 0, 0, 45, 1, 0, 0, 86.511, 12.88, 100, 0, 0, 141, 12, 12, 0, 0.55, 0, 100.5, 0, 0, 103.5, 111.495, 0, 0, 0, 0, 
0.35, 24.84, , , 64.92, , -5.897, , 73.109, 73.109, , -136.217, -136.217, -136.217, , , 35.4, 35.237, 7.378, 22.39, 0, 0, -38.739, -39.749, -38.739, -39.749, 1, 109.428, 109.428, 0.025, 0.034, , , , , 8.547, 7.378, 22.39, , , 1, 0.45, 0, 0, 12.5, 5.788, 178, 0, 0, 0, 45, 0, 0, 86.871, 12.88, 100, 0, 0, 12, 12, 0, 0.55, 100.5, 0, 0, 103.5, 111.245, 0, 0, 0, 0, 0, 14.1, 0, 12.5, 0, 5.788, 178, 0, 0, 0, 45, 1, 0, 0, 86.871, 12.88, 100, 0, 0, 141, 12, 12, 0, 0.55, 0, 100.5, 0, 0, 103.5, 111.245, 0, 0, 0, 0, 
0.4, 24.838, , , 64.92, , -5.887, , 81.16, 81.16, , -135.994, -135.994, -135.994, , , 35.254, 35.339, 7.379, 22.39, 0, 0, -38.572, -39.577, -38.572, -39.577, 1, 109.132, 109.132, 0.025, 0.034, , , , , 8.553, 7.379, 22.39, , , 1, 0.5, 0, 0, 12.5, 5.773, 178, 0, 0, 0, 45, 0, 0, 87.231, 12.88, 100, 0, 0, 12, 12, 0, 0.55, 100.5, 0, 0, 103.5, 110.995, 0, 0, 0, 0, 0, 14.1, 0, 12.5, 0, 5.773, 178, 0, 0, 0, 45, 1, 0, 0, 87.231, 12.88, 100, 0, 0, 141, 12, 12, 0, 0.55, 0, 100.5, 0, 0, 103.5, 110.995, 0, 0, 0, 0, 
0.45, 24.836, , , 64.92, , -5.886, , 89.212, 89.212, , -135.979, -135.979, -135.979, , , 35.074, 35.447, 7.379, 22.39, 0, 0, -38.463, -39.465, -38.463, -39.465, 1, 108.835, 108.835, 0.025, 0.034, , , , , 8.56, 7.379, 22.39, , , 1, 0.551, 0, 0, 12.5, 5.758, 178, 0, 0, 0, 45, 0, 0, 87.591, 12.88, 100, 0, 0, 12, 12, 0, 0.55, 100.5, 0, 0, 103.5, 110.745, 0, 0, 0, 0, 0, 14.1, 0, 12.5, 0, 5.758, 178, 0, 0, 0, 45, 1, 0, 0, 87.591, 12.88, 100, 0, 0, 141, 12, 12, 0, 0.55, 0, 100.5, 0, 0, 103.5, 110.745, 0, 0, 0, 0, 
