cylinder,RPM,tps_pct,n_samples,ve_base_pct,ve_new_pct,delta_pct
front,1500,40.0,6,74.000,81.400,+10.000
front,1750,30.0,26,94.000,103.400,+10.000
front,1750,40.0,15,85.500,94.050,+10.000
front,2000,7.3,5,104.500,98.817,-5.438
front,2000,20.0,6,111.000,103.056,-7.157
front,2000,25.0,5,107.000,96.504,-9.809
front,2000,30.0,15,101.000,111.100,+10.000
front,2000,40.0,31,90.000,99.000,+10.000
front,2000,60.0,5,92.000,96.593,+4.992
front,2250,5.0,10,103.500,101.132,-2.288
front,2250,7.3,7,106.000,95.400,-10.000
front,2250,40.0,34,91.000,100.100,+10.000
front,2250,60.0,15,90.000,99.000,+10.000
front,2500,7.3,20,100.500,90.450,-10.000
front,2500,10.0,23,106.000,104.785,-1.146
front,2500,15.0,8,111.000,112.560,+1.405
front,2500,80.0,15,88.500,93.973,+6.184
front,2500,100.0,21,88.500,84.358,-4.680
front,2750,7.3,37,102.500,103.787,+1.256
front,2750,10.0,6,104.000,100.716,-3.158
front,2750,15.0,20,107.500,116.856,+8.703
front,2750,25.0,5,104.500,96.209,-7.934
front,2750,30.0,9,100.500,90.450,-10.000
front,2750,40.0,7,91.500,89.033,-2.696
front,2750,100.0,31,89.000,82.272,-7.560
front,3000,5.0,18,91.000,88.799,-2.419
front,3000,7.3,19,97.500,92.565,-5.062
front,3000,10.0,16,107.500,100.996,-6.050
front,3000,15.0,10,108.500,105.236,-3.008
front,3000,20.0,24,106.500,111.965,+5.131
front,3000,25.0,15,104.500,109.175,+4.474
front,3000,60.0,10,87.500,83.758,-4.276
front,3000,80.0,5,90.000,85.169,-5.368
front,3000,100.0,56,92.000,84.419,-8.240
front,3500,5.0,64,93.500,102.850,+10.000
front,3500,7.3,11,101.000,105.194,+4.152
front,3500,10.0,39,114.000,110.945,-2.680
front,3500,20.0,11,122.000,119.804,-1.800
front,3500,25.0,22,119.000,121.794,+2.348
front,3500,30.0,10,116.000,111.612,-3.783
