Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , -1.722, , , , , -39.32, -39.32, -39.32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , -1.632, , , , , -37.187, -37.187, -37.187, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , -1.542, , , , , -35.055, -35.055, -35.055, , , , , , , , , , , , , , 25.116, 25.116, , , , , , , , , , , , 1, 0.057, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , 100.58, 62.37, , , -1.478, 0.971, 4.085, 4.085, , -33.523, -33.523, -33.523, , , , , 7.377, 14.218, , , -2.02, -2.08, -2.02, -2.08, , 25.057, 25.057, , , , , , , , 7.377, 14.218, , , 1, 0.113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , 100.58, 62.37, , , -1.443, 0.971, 7.734, 7.734, , -32.697, -32.697, -32.697, , , 36.039, 35.752, 7.377, 14.024, 0, 0, -2.032, -2.092, -2.032, -2.092, 1, 24.988, 24.988, 0.025, 0.271, , , , , 4.38, 7.377, 14.024, , , 1, 0.201, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , 100.58, 62.37, , , -1.408, 0.971, 11.382, 11.382, , -31.871, -31.871, -31.871, , , 35.89, 35.975, 7.377, 13.847, 0, 0, -2.044, -2.104, -2.044, -2.104, 1, 24.879, 24.879, 0.025, 0.27, , , , , 4.364, 7.377, 13.847, , , 1, 0.282, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.3, , 100.58, 62.37, , , -1.083, 0.971, 13.352, 13.352, 1.699, -24.163, -24.163, -24.163, , , 35.741, 36.198, 7.377, 13.679, 0, 0, -1.553, -1.598, -1.553, -1.598, 1, 24.769, 24.769, 0.025, 0.269, -4.212, -4.336, -4.212, -4.336, 4.347, 7.377, 13.679, , , 1, 0.339, 0.003, 0, 14.389, 1.699, 171, 0, 0, 0, 39.135, 4.111, 4.187, 113.009, 31.366, 100, 0, 0, 19.52, 19.53, 1.577, 0.658, 90.52, 0, 0, 97.98, 24.915, 0, 0, 0.003, 0, 0, 14, 0, 14.389, 0, 1.699, 171, 0, 0, 0, 39.135, 1, 0.004, 0.004, 113.009, 31.366, 100, 0, 0, 141, 19.52, 19.53, 1.577, 0.658, 0, 90.52, 0, 0, 97.98, 24.915, 0, 0, 0, 0, 
0.35, , 100.58, 62.37, , , -0.733, 0.971, 15.176, 15.176, 1.713, -15.856, -15.856, -15.856, 68.28, , 35.593, 36.421, 7.377, 13.541, 0, 0, -1.017, -1.048, -1.017, -1.048, 1, 24.714, 24.714, 0.025, 0.268, -2.921, -3.006, -2.921, -3.006, 4.331, 7.377, 13.541, , , 1, 0.389, 0.025, 0.003, 14.31, 1.713, 171, 0, 0, 0, 40.258, 4.7, 4.75, 113.084, 34.268, 100, 0, 0, 19.686, 19.78, 5.695, 0.811, 90.686, 0, 0, 97.814, 25.458, 0, 0, 0.025, 0, 0, 14, 0.003, 14.31, 0, 1.713, 171, 0, 0, 0, 40.258, 1, 0.005, 0.005, 113.084, 34.268, 100, 0, 0, 141, 19.686, 19.78, 5.695, 0.811, 0, 90.686, 0, 0, 97.814, 25.458, 0, 0, 0, 0, 
0.4, , 100.58, 62.37, , , 0.789, 0.971, 16.996, 16.996, 1.727, 20.24, 20.24, 20.24, 68.203, , 35.444, 36.644, 7.377, 13.42, 0, 0, 1.372, 1.413, 1.372, 1.413, 1, 24.689, 24.689, 0.025, 0.268, 4.335, 4.469, 4.335, 4.469, 4.312, 7.377, 13.42, , , 1, 0.439, 0.047, 0.005, 14.231, 1.727, 171, 0, 0, 0, 41.381, 5.29, 5.312, 113.159, 37.169, 100, 0, 0, 19.853, 20.029, 9.813, 0.963, 90.853, 0, 0, 97.647, 26.001, 0, 0, 0.047, 0, 0, 14, 0.005, 14.231, 0, 1.727, 171, 0, 0, 0, 41.381, 1, 0.005, 0.005, 113.159, 37.169, 100, 0, 0, 141, 19.853, 20.029, 9.813, 0.963, 0, 90.853, 0, 0, 97.647, 26.001, 0, 0, 0, 0, 
0.45, , 100.58, 62.37, , , 4.392, 0.971, 18.806, 18.806, 1.74, 105.74, 105.74, 105.74, 68, , 35.42, 36.438, 7.377, 13.322, 0, 0, 7.058, 7.27, 7.058, 7.27, 1, 24.714, 24.714, 0.025, 0.267, 22.195, 22.871, 22.195, 22.871, 4.29, 7.377, 13.322, , , 1, 0.489, 0.069, 0.008, 14.152, 1.74, 171, 0, 0, 0, 42.504, 5.879, 5.875, 113.234, 40.07, 100, 0, 0, 20.019, 20.279, 13.931, 1.115, 91.019, 0, 0, 97.481, 26.544, 0, 0, 0.069, 0, 0, 14, 0.008, 14.152, 0, 1.74, 171, 0, 0, 0, 42.504, 1, 0.006, 0.006, 113.234, 40.07, 100, 0, 0, 141, 20.019, 20.279, 13.931, 1.115, 0, 91.019, 0, 0, 97.481, 26.544, 0, 0, 0, 0, 
