cylinder,RPM,tps_pct,n_samples,median_err_pct,ve_base_pct,ve_new_pct,delta_pct
front,2000,7.3,5,-5.44,98.817,93.876,-5.000
front,2000,20.0,6,-7.16,103.056,97.903,-5.000
front,2000,25.0,5,-9.81,96.504,91.679,-5.000
front,2250,5.0,10,-2.29,101.132,98.818,-2.288
front,2250,7.3,7,-12.60,95.400,90.630,-5.000
front,2500,7.3,20,-11.38,90.450,85.927,-5.000
front,2500,10.0,23,-1.15,104.785,103.584,-1.146
front,2500,100.0,21,-4.68,84.358,80.410,-4.680
front,2750,10.0,6,-3.16,100.716,97.535,-3.158
front,2750,25.0,5,-7.93,96.209,91.399,-5.000
front,2750,30.0,9,-13.52,90.450,85.927,-5.000
front,2750,40.0,7,-2.70,89.033,86.633,-2.696
front,2750,100.0,31,-7.56,82.272,78.158,-5.000
front,3000,5.0,18,-2.42,88.799,86.651,-2.419
front,3000,7.3,19,-5.06,92.564,87.936,-5.000
front,3000,10.0,16,-6.05,100.996,95.946,-5.000
front,3000,15.0,10,-3.01,105.236,102.071,-3.008
front,3000,60.0,10,-4.28,83.758,80.177,-4.276
front,3000,80.0,5,-5.37,85.169,80.910,-5.000
front,3000,100.0,56,-8.24,84.419,80.198,-5.000
front,3500,10.0,39,-2.68,110.945,107.971,-2.680
front,3500,20.0,11,-1.80,119.804,117.648,-1.800
front,3500,30.0,10,-3.78,111.612,107.389,-3.783
front,3500,40.0,11,-8.22,98.662,93.729,-5.000
front,3500,100.0,63,-7.74,83.953,79.755,-5.000
front,4000,30.0,16,-3.43,117.336,113.315,-3.427
front,4000,40.0,12,-4.38,109.960,105.140,-4.383
front,4000,100.0,84,-5.19,92.912,88.266,-5.000
front,4500,100.0,48,-5.24,98.555,93.627,-5.000
front,5500,100.0,78,-8.05,97.929,93.032,-5.000
rear,2000,7.3,5,-5.44,106.855,101.512,-5.000
rear,2000,20.0,6,-7.16,106.769,101.431,-5.000
rear,2000,25.0,5,-9.81,96.504,91.679,-5.000
rear,2250,5.0,10,-2.29,110.903,108.366,-2.288
rear,2250,7.3,7,-12.60,105.750,100.462,-5.000
rear,2500,7.3,20,-11.38,99.000,94.050,-5.000
rear,2500,10.0,23,-1.15,114.176,112.868,-1.146
rear,2500,100.0,21,-4.68,85.788,81.773,-4.680
rear,2750,10.0,6,-3.16,105.558,102.224,-3.158
rear,2750,25.0,5,-7.93,98.511,93.585,-5.000
rear,2750,30.0,9,-13.52,92.250,87.638,-5.000
rear,2750,40.0,7,-2.70,92.439,89.947,-2.696
rear,2750,100.0,31,-7.56,84.583,80.353,-5.000
rear,3000,5.0,18,-2.42,92.702,90.459,-2.419
rear,3000,7.3,19,-5.06,97.311,92.446,-5.000
rear,3000,10.0,16,-6.05,105.694,100.409,-5.000
rear,3000,15.0,10,-3.01,110.086,106.775,-3.008
rear,3000,60.0,10,-4.28,85.673,82.010,-4.276
rear,3000,80.0,5,-5.37,87.535,83.158,-5.000
rear,3000,100.0,56,-8.24,88.090,83.685,-5.000
rear,3500,10.0,39,-2.68,116.297,113.181,-2.680
rear,3500,20.0,11,-1.80,125.205,122.951,-1.800
rear,3500,30.0,10,-3.78,114.979,110.630,-3.783
rear,3500,40.0,11,-8.22,103.251,98.089,-5.000
rear,3500,100.0,63,-7.74,86.721,82.385,-5.000
rear,4000,30.0,16,-3.43,122.165,117.978,-3.427
rear,4000,40.0,12,-4.38,113.306,108.340,-4.383
rear,4000,100.0,84,-5.19,93.860,89.167,-5.000
rear,4500,100.0,48,-5.24,99.502,94.527,-5.000
rear,5500,100.0,78,-8.05,97.929,93.032,-5.000
