cylinder,RPM,MAP_kpa,source,spark_base_deg,spark_new_deg,delta_deg
front,4500,100.0,iter8_wot_sweep_plus2,32.00,34.00,+2.00
front,4500,100.0,iter8_wot_sweep_plus2,32.00,34.00,+2.00
front,4500,100.0,iter8_wot_sweep_plus2,32.00,34.00,+2.00
front,4500,100.0,iter8_wot_sweep_plus2,32.00,34.00,+2.00
front,4500,100.0,iter8_wot_sweep_plus2,32.00,34.00,+2.00
front,4500,100.0,iter8_wot_sweep_plus2,32.00,34.00,+2.00
front,4500,100.0,iter8_wot_sweep_plus2,32.00,34.00,+2.00
front,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
front,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
front,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
front,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
front,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
front,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
front,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
front,5500,100.0,iter8_wot_sweep_plus2,35.00,37.00,+2.00
front,5500,100.0,iter8_wot_sweep_plus2,36.00,38.00,+2.00
front,5500,100.0,iter8_wot_sweep_plus2,36.00,38.00,+2.00
front,5500,100.0,iter8_wot_sweep_plus2,36.00,38.00,+2.00
front,5500,100.0,iter8_wot_sweep_plus2,36.00,38.00,+2.00
front,5500,100.0,iter8_wot_sweep_plus2,36.00,38.00,+2.00
front,5500,100.0,iter8_wot_sweep_plus2,36.00,38.00,+2.00
rear,4500,100.0,iter8_wot_sweep_plus2,31.00,33.00,+2.00
rear,4500,100.0,iter8_wot_sweep_plus2,31.00,33.00,+2.00
rear,4500,100.0,iter8_wot_sweep_plus2,31.00,33.00,+2.00
rear,4500,100.0,iter8_wot_sweep_plus2,31.00,33.00,+2.00
rear,4500,100.0,iter8_wot_sweep_plus2,31.00,33.00,+2.00
rear,4500,100.0,iter8_wot_sweep_plus2,31.00,33.00,+2.00
rear,4500,100.0,iter8_wot_sweep_plus2,31.00,33.00,+2.00
rear,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5000,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5500,100.0,iter8_wot_sweep_plus2,33.00,35.00,+2.00
rear,5500,100.0,iter8_wot_sweep_plus2,34.00,36.00,+2.00
rear,5500,100.0,iter8_wot_sweep_plus2,34.00,36.00,+2.00
rear,5500,100.0,iter8_wot_sweep_plus2,34.00,36.00,+2.00
rear,5500,100.0,iter8_wot_sweep_plus2,34.00,36.00,+2.00
rear,5500,100.0,iter8_wot_sweep_plus2,34.00,36.00,+2.00
rear,5500,100.0,iter8_wot_sweep_plus2,34.00,36.00,+2.00
