cylinder,row_idx,col_idx,rpm,tps_pct,ve_base,ve_new,delta,delta_pct
front,5,0,1500,0,78.50,80.86,+2.355,+3.00
front,5,1,1500,2.3,88.00,87.25,-0.750,-0.85
front,5,5,1500,15,90.50,91.91,+1.406,+1.55
front,5,6,1500,20,86.00,88.58,+2.580,+3.00
front,5,7,1500,25,82.00,84.46,+2.460,+3.00
front,5,8,1500,30,78.50,80.86,+2.355,+3.00
front,5,9,1500,40,81.40,83.04,+1.641,+2.02
front,5,10,1500,60,77.00,79.31,+2.310,+3.00
front,6,0,1750,0,79.50,81.35,+1.850,+2.33
front,6,1,1750,2.3,91.00,88.31,-2.688,-2.95
front,6,2,1750,5,90.50,91.21,+0.707,+0.78
front,6,4,1750,10,102.00,100.58,-1.418,-1.39
front,6,5,1750,15,103.50,101.69,-1.809,-1.75
front,6,6,1750,20,105.50,102.33,-3.165,-3.00
front,6,7,1750,25,100.50,98.13,-2.371,-2.36
front,6,8,1750,30,103.40,100.30,-3.102,-3.00
front,6,9,1750,40,94.05,92.90,-1.150,-1.22
front,6,10,1750,60,87.00,87.82,+0.815,+0.94
front,7,0,2000,0,79.50,80.75,+1.250,+1.57
front,7,1,2000,2.3,79.00,81.37,+2.370,+3.00
front,7,2,2000,5,99.00,96.03,-2.970,-3.00
front,7,4,2000,10,108.50,105.86,-2.643,-2.44
front,7,5,2000,15,110.00,108.47,-1.528,-1.39
front,7,6,2000,20,103.06,104.59,+1.535,+1.49
front,7,7,2000,25,96.50,99.40,+2.895,+3.00
front,7,8,2000,30,111.10,107.77,-3.333,-3.00
front,7,10,2000,60,96.59,95.43,-1.162,-1.20
front,8,1,2250,2.3,81.00,83.43,+2.430,+3.00
front,8,2,2250,5,101.13,98.10,-3.034,-3.00
front,8,3,2250,7.3,95.40,98.09,+2.687,+2.82
front,8,4,2250,10,108.00,106.03,-1.968,-1.82
front,8,5,2250,15,112.00,110.46,-1.537,-1.37
front,8,6,2250,20,113.00,110.26,-2.743,-2.43
front,8,7,2250,25,108.00,106.85,-1.146,-1.06
front,8,8,2250,30,103.00,102.01,-0.987,-0.96
front,8,9,2250,40,100.10,98.75,-1.350,-1.35
front,8,10,2250,60,99.00,96.20,-2.802,-2.83
front,9,0,2500,0,80.50,81.25,+0.750,+0.93
front,9,1,2500,2.3,82.00,84.46,+2.460,+3.00
front,9,2,2500,5,95.50,93.80,-1.702,-1.78
front,9,3,2500,7.3,90.45,93.16,+2.713,+3.00
front,9,5,2500,15,112.56,110.99,-1.570,-1.39
front,9,6,2500,20,111.50,110.35,-1.148,-1.03
front,9,7,2500,25,106.50,105.23,-1.271,-1.19
front,9,8,2500,30,101.00,99.21,-1.794,-1.78
front,9,9,2500,40,86.00,88.58,+2.580,+3.00
front,9,10,2500,60,83.50,86.00,+2.505,+3.00
front,10,1,2750,2.3,84.50,86.11,+1.612,+1.91
front,10,2,2750,5,98.50,95.55,-2.955,-3.00
front,10,3,2750,7.3,103.79,100.67,-3.114,-3.00
front,10,4,2750,10,100.72,102.06,+1.344,+1.33
front,10,5,2750,15,116.86,113.35,-3.506,-3.00
front,10,7,2750,25,96.21,99.10,+2.886,+3.00
front,10,8,2750,30,90.45,93.16,+2.713,+3.00
front,10,9,2750,40,89.03,90.19,+1.153,+1.29
front,11,0,3000,0,86.00,87.10,+1.100,+1.28
front,11,1,3000,2.3,87.50,89.35,+1.853,+2.12
front,11,2,3000,5,88.80,91.46,+2.664,+3.00
front,11,3,3000,7.3,92.56,95.34,+2.777,+3.00
