cyl,row_idx,col_idx,rpm,tps_pct,ve_base,ve_new,delta,delta_pct
VE (TPS based/Front Cyl),5,0,1500,0.0,78.50,80.86,+2.355,+3.00
VE (TPS based/Front Cyl),5,1,1500,2.3,88.00,87.25,-0.750,-0.85
VE (TPS based/Front Cyl),5,5,1500,15.0,90.50,91.91,+1.406,+1.55
VE (TPS based/Front Cyl),5,6,1500,20.0,86.00,88.58,+2.580,+3.00
VE (TPS based/Front Cyl),5,7,1500,25.0,82.00,84.46,+2.460,+3.00
VE (TPS based/Front Cyl),5,8,1500,30.0,78.50,80.86,+2.355,+3.00
VE (TPS based/Front Cyl),5,9,1500,40.0,81.40,83.04,+1.641,+2.02
VE (TPS based/Front Cyl),5,10,1500,60.0,77.00,79.31,+2.310,+3.00
VE (TPS based/Front Cyl),6,0,1750,0.0,79.50,81.35,+1.850,+2.33
VE (TPS based/Front Cyl),6,1,1750,2.3,91.00,88.31,-2.688,-2.95
VE (TPS based/Front Cyl),6,2,1750,5.0,90.50,91.21,+0.707,+0.78
VE (TPS based/Front Cyl),6,4,1750,10.0,102.00,100.58,-1.418,-1.39
VE (TPS based/Front Cyl),6,5,1750,15.0,103.50,101.69,-1.809,-1.75
VE (TPS based/Front Cyl),6,6,1750,20.0,105.50,102.33,-3.165,-3.00
VE (TPS based/Front Cyl),6,7,1750,25.0,100.50,98.13,-2.371,-2.36
VE (TPS based/Front Cyl),6,8,1750,30.0,103.40,100.30,-3.102,-3.00
VE (TPS based/Front Cyl),6,9,1750,40.0,94.05,92.90,-1.150,-1.22
VE (TPS based/Front Cyl),6,10,1750,60.0,87.00,87.82,+0.815,+0.94
VE (TPS based/Front Cyl),7,0,2000,0.0,79.50,80.75,+1.250,+1.57
VE (TPS based/Front Cyl),7,1,2000,2.3,79.00,81.37,+2.370,+3.00
VE (TPS based/Front Cyl),7,2,2000,5.0,99.00,96.03,-2.970,-3.00
VE (TPS based/Front Cyl),7,4,2000,10.0,108.50,105.86,-2.643,-2.44
VE (TPS based/Front Cyl),7,5,2000,15.0,110.00,108.47,-1.528,-1.39
VE (TPS based/Front Cyl),7,6,2000,20.0,103.06,104.59,+1.535,+1.49
VE (TPS based/Front Cyl),7,7,2000,25.0,96.50,99.40,+2.895,+3.00
VE (TPS based/Front Cyl),7,8,2000,30.0,111.10,107.77,-3.333,-3.00
VE (TPS based/Front Cyl),7,10,2000,60.0,96.59,95.43,-1.162,-1.20
VE (TPS based/Front Cyl),8,1,2250,2.3,81.00,83.43,+2.430,+3.00
VE (TPS based/Front Cyl),8,2,2250,5.0,101.13,98.10,-3.034,-3.00
