cylinder,row_idx,col_idx,rpm,tps_pct,ve_base,ve_new,delta,delta_pct
front,5,0,1500,0,80.86,75.20,-5.660,-7.00
front,5,2,1500,5,91.00,84.63,-6.370,-7.00
front,5,4,1500,10,93.50,86.95,-6.545,-7.00
front,6,0,1750,0,81.35,75.66,-5.695,-7.00
front,6,2,1750,5,91.21,84.82,-6.385,-7.00
front,6,4,1750,10,100.58,93.54,-7.041,-7.00
front,7,0,2000,0,80.75,75.10,-5.653,-7.00
front,7,2,2000,5,96.03,89.31,-6.722,-7.00
front,7,4,2000,10,105.86,98.45,-7.410,-7.00
front,8,0,2250,0,79.50,73.93,-5.565,-7.00
front,8,2,2250,5,98.10,91.23,-6.867,-7.00
front,8,4,2250,10,106.03,98.61,-7.422,-7.00
front,9,0,2500,0,81.25,75.56,-5.688,-7.00
front,9,2,2500,5,93.80,87.23,-6.566,-7.00
front,9,4,2500,10,104.79,97.45,-7.335,-7.00
front,10,0,2750,0,83.00,77.19,-5.810,-7.00
front,10,2,2750,5,95.55,88.86,-6.688,-7.00
front,10,4,2750,10,102.06,94.92,-7.144,-7.00
front,11,0,3000,0,87.10,81.00,-6.097,-7.00
front,11,2,3000,5,91.46,85.06,-6.402,-7.00
front,11,4,3000,10,103.92,96.65,-7.275,-7.00
front,12,0,3500,0,92.50,86.02,-6.475,-7.00
front,12,2,3500,5,99.76,92.78,-6.984,-7.00
front,12,4,3500,10,110.94,103.18,-7.766,-7.00
front,13,0,4000,0,97.10,90.30,-6.797,-7.00
front,13,2,4000,5,100.59,93.55,-7.041,-7.00
front,13,4,4000,10,114.65,106.62,-8.026,-7.00
front,14,0,4500,0,99.50,92.53,-6.965,-7.00
front,14,2,4500,5,102.57,95.39,-7.180,-7.00
front,14,4,4500,10,108.95,101.32,-7.626,-7.00
front,15,0,5000,0,100.50,93.46,-7.035,-7.00
front,15,2,5000,5,100.50,93.46,-7.035,-7.00
front,15,4,5000,10,104.03,96.75,-7.282,-7.00
rear,5,0,1500,0,86.00,79.98,-6.020,-7.00
rear,5,2,1500,5,98.50,91.60,-6.895,-7.00
rear,5,4,1500,10,101.00,93.93,-7.070,-7.00
rear,6,0,1750,0,86.52,80.46,-6.056,-7.00
rear,6,2,1750,5,98.00,91.14,-6.860,-7.00
rear,6,4,1750,10,108.30,100.72,-7.581,-7.00
rear,7,0,2000,0,86.10,80.07,-6.027,-7.00
rear,7,2,2000,5,105.73,98.33,-7.401,-7.00
rear,7,4,2000,10,115.43,107.35,-8.080,-7.00
rear,8,0,2250,0,84.50,78.58,-5.915,-7.00
rear,8,2,2250,5,107.58,100.05,-7.530,-7.00
rear,8,4,2250,10,116.89,108.70,-8.182,-7.00
rear,9,0,2500,0,85.70,79.70,-5.999,-7.00
rear,9,2,2500,5,101.97,94.83,-7.138,-7.00
rear,9,4,2500,10,114.18,106.18,-7.992,-7.00
rear,10,0,2750,0,87.70,81.56,-6.139,-7.00
rear,10,2,2750,5,102.82,95.62,-7.197,-7.00
rear,10,4,2750,10,107.66,100.12,-7.536,-7.00
rear,11,0,3000,0,91.85,85.42,-6.430,-7.00
rear,11,2,3000,5,95.48,88.80,-6.684,-7.00
rear,11,4,3000,10,108.86,101.24,-7.621,-7.00
rear,12,0,3500,0,98.10,91.23,-6.867,-7.00
rear,12,2,3500,5,102.75,95.56,-7.193,-7.00
rear,12,4,3500,10,116.30,108.16,-8.141,-7.00
rear,13,0,4000,0,100.60,93.56,-7.042,-7.00
rear,13,2,4000,5,104.27,96.98,-7.299,-7.00
rear,13,4,4000,10,120.79,112.33,-8.455,-7.00
rear,14,0,4500,0,102.50,95.32,-7.175,-7.00
rear,14,2,4500,5,106.08,98.65,-7.425,-7.00
rear,14,4,4500,10,115.34,107.26,-8.074,-7.00
rear,15,0,5000,0,103.50,96.25,-7.245,-7.00
rear,15,2,5000,5,103.50,96.25,-7.245,-7.00
rear,15,4,5000,10,110.95,103.19,-7.767,-7.00
