Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , -1.739, , , , , -39.37, -39.37, -39.37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , -2.856, , , , , -65.884, -65.884, -65.884, , , , , 7.377, 16.875, 0, 0, , , , , 1, 46.218, 46.218, 0.024, 0.032, , , , , 5.024, 7.377, 16.875, , , 1, 0.033, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , -4.45, , 5.482, 5.482, , -103.703, -103.703, -103.703, , , , , 7.377, 16.577, 0, 0, -15.247, -15.656, -15.247, -15.656, 1, 46.088, 46.088, 0.024, 0.032, , , , , 4.993, 7.377, 16.577, , , 1, 0.116, 0, 0, 14.1, 1.99, 153, 0, 0, 0, 48, 2.675, 2.587, 100.4, 25.575, 100, 0, 0, 19.904, 19.904, 0, 0.55, 79.5, 0, 0, 84.5, 46.244, 0, 0, 0, 0, 0, 14.1, 0, 14.1, 0, 1.99, 153, 0, 0, 0, 48, 1, 0.003, 0.003, 100.4, 25.575, 100, 0, 0, 141, 19.904, 19.904, 0, 0.55, 0, 79.5, 0, 0, 84.5, 46.244, 0, 0, 0, 0, 
0.15, , , , , , -6.575, , 10.541, 10.541, , -154.111, -154.111, -154.111, , , , , 7.377, 16.52, 0, 0, -22.043, -22.638, -22.043, -22.638, 1, 45.499, 45.499, 0.024, 0.032, , , , , 4.961, 7.377, 16.52, , , 1, 0.2, 0, 0, 14.1, 1.984, 153, 0, 0, 0, 48, 2.712, 2.616, 100.4, 25.729, 100, 0, 0, 19.8, 19.8, 0, 0.55, 79.5, 0, 0, 84.5, 45.856, 0, 0, 0, 0, 0, 14.1, 0, 14.1, 0, 1.984, 153, 0, 0, 0, 48, 1, 0.003, 0.003, 100.4, 25.729, 100, 0, 0, 141, 19.8, 19.8, 0, 0.55, 0, 79.5, 0, 0, 84.5, 45.856, 0, 0, 0, 0, 
0.2, , , , , , -9.455, , 15.544, 15.544, , -222.451, -222.451, -222.451, , , , , 7.377, 16.623, 0, 0, -29.971, -30.781, -29.971, -30.781, 1, 44.529, 44.529, 0.024, 0.032, , , , , 4.93, 7.377, 16.623, , , 1, 0.259, 0, 0, 14.1, 1.978, 153, 0, 0, 0, 48, 2.75, 2.645, 100.4, 25.883, 100, 0, 0, 19.696, 19.696, 0, 0.55, 79.5, 0, 0, 84.5, 45.468, 0, 0, 0, 0, 0, 14.1, 0, 14.1, 0, 1.978, 153, 0, 0, 0, 48, 1, 0.003, 0.003, 100.4, 25.883, 100, 0, 0, 141, 19.696, 19.696, 0, 0.55, 0, 79.5, 0, 0, 84.5, 45.468, 0, 0, 0, 0, 
0.25, , , , , , -12.399, , 20.489, 20.489, , -292.336, -292.336, -292.336, , , , , 7.377, 16.697, 0, 0, -34.581, -35.516, -34.581, -35.516, 1, 43.281, 43.281, 0.024, 0.032, , , , , 4.899, 7.377, 16.697, , , 1, 0.325, 0, 0, 14.1, 1.973, 153, 0, 0, 0, 48, 2.787, 2.674, 100.4, 26.037, 100, 0, 0, 19.592, 19.592, 0, 0.55, 79.5, 0, 0, 84.5, 45.081, 0, 0, 0, 0, 0, 14.1, 0, 14.1, 0, 1.973, 153, 0, 0, 0, 48, 1, 0.003, 0.003, 100.4, 26.037, 100, 0, 0, 141, 19.592, 19.592, 0, 0.55, 0, 79.5, 0, 0, 84.5, 45.081, 0, 0, 0, 0, 
0.3, , , , , , -12.653, , 25.365, 25.365, , -298.384, -298.384, -298.384, , , 36.074, 35.545, 7.377, 16.748, 0, 0, -32.97, -33.862, -32.97, -33.862, 1, 42.168, 42.168, 0.024, 0.032, -828.689, -851.08, -828.689, -851.08, 4.879, 7.377, 16.748, , , 1, 0.384, 0.213, 0, 14.111, 1.965, 153, 0, 0, 0, 48.384, 3.22, 3.215, 100.4, 26.211, 100, 0, 0, 19.536, 19.644, 0.112, 0.558, 80.169, 0, 0, 85.002, 44.65, 0, 0, 0.214, 0, 0, 14.1, 0, 14.111, 0, 1.965, 153, 0, 0, 0, 48.384, 1, 0.003, 0.004, 100.4, 26.211, 100, 0, 0, 141, 19.536, 19.644, 0.112, 0.558, 0, 80.169, 0, 0, 85.002, 44.65, 0, 0, 0, 0, 
0.35, , , , , , -9.175, , 30.163, 30.163, , -215.871, -215.871, -215.871, , , 35.75, 35.473, 7.377, 16.666, 0, 0, -23.642, -24.282, -23.642, -24.282, 1, 41.5, 41.5, 0.024, 0.032, -602.759, -619.045, -602.759, -619.045, 4.863, 7.377, 16.666, , , 1, 0.434, 1.735, 0, 14.191, 1.941, 153, 0, 0, 0, 51.584, 6.556, 7.505, 100.4, 26.505, 100, 0, 0, 19.836, 20.844, 0.912, 0.628, 84.95, 0, 0, 88.588, 43.904, 0, 0, 1.742, 0, 0, 14.1, 0, 14.191, 0, 1.941, 153, 0, 0, 0, 51.584, 1, 0.007, 0.008, 100.4, 26.505, 100, 0, 0, 141, 19.836, 20.844, 0.912, 0.628, 0, 84.95, 0, 0, 88.588, 43.904, 0, 0, 0, 0, 
0.4, , 100.44, 63.72, , , -4.386, 0.974, 33.304, 33.304, 0.023, -102.281, -102.281, -102.281, , 94.038, 35.426, 35.401, 7.377, 16.478, 0, 0, -11.176, -11.48, -11.176, -11.48, 1, 41.116, 41.116, 0.024, 0.032, -469.323, -482.003, -469.323, -482.003, 4.846, 7.377, 16.478, , , 1, 0.484, 3.257, 0, 14.271, 1.917, 153, 0, 0, 0, 54.784, 9.892, 11.795, 100.4, 26.799, 100, 0, 0, 20.136, 22.044, 1.712, 0.698, 89.731, 0, 0, 92.173, 43.158, 0, 0, 3.27, 0, 0, 14.1, 0, 14.271, 0, 1.917, 153, 0, 0, 0, 54.784, 1, 0.01, 0.012, 100.4, 26.799, 100, 0, 0, 141, 20.136, 22.044, 1.712, 0.698, 0, 89.731, 0, 0, 92.173, 43.158, 0, 0, 0, 0, 
0.45, , 100.44, 63.72, , , -0.09, 0.974, 36.359, 36.359, 0.168, -0.365, -0.365, -0.365, , 90.466, 35.102, 35.329, 7.377, 16.089, 0, 0, -0.047, -0.05, -0.047, -0.05, 1, 41.035, 41.035, 0.024, 0.032, -280.986, -288.576, -280.986, -288.576, 4.83, 7.377, 16.089, , , 1, 0.534, 4.779, 0, 14.351, 1.894, 153, 0, 0, 0, 57.984, 13.228, 16.085, 100.4, 27.093, 100, 0, 0, 20.436, 23.244, 2.512, 0.768, 94.512, 0, 0, 95.759, 42.412, 0, 0, 4.798, 0, 0, 14.1, 0, 14.351, 0, 1.894, 153, 0, 0, 0, 57.984, 1, 0.014, 0.016, 100.4, 27.093, 100, 0, 0, 141, 20.436, 23.244, 2.512, 0.768, 0, 94.512, 0, 0, 95.759, 42.412, 0, 0, 0, 0, 
